package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"subplex", "::", -1, 0, 0, "struct<`par`:double[], `value`:double, `counts`:integer, `convergence`:integer, `message`:character, `hessian`:null>", 1
"subplex", "::", 0, 0, 0, "double[]", 1
"subplex", "::", 1, 0, 0, "any => any", 1
"subplex", "::", 2, 0, 0, "struct<`maxit`:double>", 1
"subplex", "::", 3, 0, 0, "logical", 1
"subplex", "::", 4, 0, 0, "null", 1
"subplex", "filter", -1, 0, 0, "logical[]", 1
"subplex", "filter", 0, 0, 0, "character[]", 1
"subplex", "subplex", -1, 0, 0, "struct<`par`:double[], `value`:double, `counts`:integer, `convergence`:integer, `message`:character, `hessian`:^double[]>", 1
"subplex", "subplex", 0, 0, 0, "double[]", 1
"subplex", "subplex", 1, 0, 0, "any => any", 1
"subplex", "subplex", 1, 0, 1, "character", 1
"subplex", "subplex", 2, 0, 0, "struct<`maxit`:double>", 1
"subplex", "subplex", 2, 0, 1, "tuple<>", 1
"subplex", "subplex", 2, 0, 2, "struct<`parscale`:double[]>", 1
"subplex", "subplex", 2, 0, 3, "struct<`reltol`:double>", 1
"subplex", "subplex", 3, 0, 0, "logical", 1
"subplex", "subplex", 4, 0, 0, "null", 1
"subplex", "subplex", 4, 0, 1, "double", 1
