package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"survRM2", "plot.rmst2", -1, 0, 0, "null", 1
"survRM2", "plot.rmst2", 0, 0, 0, "class<`rmst2`>", 1
"survRM2", "plot.rmst2", 1, 0, 0, "character", 1
"survRM2", "plot.rmst2", 2, 0, 0, "character", 1
"survRM2", "plot.rmst2", 3, 0, 0, "character", 1
"survRM2", "plot.rmst2", 4, 0, 0, "character", 1
"survRM2", "plot.rmst2", 5, 0, 0, "character", 1
"survRM2", "plot.rmst2", 6, 0, 0, "double", 1
"survRM2", "plot.rmst2", 7, 0, 0, "double", 1
"survRM2", "plot.rmst2", 8, 0, 0, "...", 1
"survRM2", "print.rmst2", -1, 0, 0, "class<`rmst2`>", 1
"survRM2", "print.rmst2", 0, 0, 0, "class<`rmst2`>", 1
"survRM2", "print.rmst2", 1, 0, 0, "double", 1
"survRM2", "print.rmst2", 2, 0, 0, "...", 1
"survRM2", "rmst1", -1, 0, 0, "class<`rmst1`>", 1
"survRM2", "rmst1", 0, 0, 0, "double[]", 1
"survRM2", "rmst1", 1, 0, 0, "double[]", 1
"survRM2", "rmst1", 2, 0, 0, "double", 1
"survRM2", "rmst1", 3, 0, 0, "double", 1
"survRM2", "rmst2", -1, 0, 0, "class<`rmst2`>", 1
"survRM2", "rmst2", 0, 0, 0, "double[]", 1
"survRM2", "rmst2", 1, 0, 0, "double[]", 1
"survRM2", "rmst2", 2, 0, 0, "double[]", 1
"survRM2", "rmst2", 3, 0, 0, "double", 1
"survRM2", "rmst2", 4, 0, 0, "class<`data.frame`>", 1
"survRM2", "rmst2", 4, 0, 1, "null", 1
"survRM2", "rmst2", 5, 0, 0, "double", 1
"survRM2", "rmst2reg", -1, 0, 0, "class<`matrix`>", 1
"survRM2", "rmst2reg", 0, 0, 0, "double[]", 1
"survRM2", "rmst2reg", 1, 0, 0, "double[]", 1
"survRM2", "rmst2reg", 2, 0, 0, "class<`matrix`>", 1
"survRM2", "rmst2reg", 3, 0, 0, "double[]", 1
"survRM2", "rmst2reg", 4, 0, 0, "double", 1
"survRM2", "rmst2reg", 5, 0, 0, "character", 1
"survRM2", "rmst2reg", 6, 0, 0, "double", 1
"survRM2", "rmst2.sample.data", -1, 0, 0, "class<`data.frame`>", 1
