package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"svglite", "%||%", -1, 0, 0, "integer[]", 1
"svglite", "%||%", 0, 0, 0, "null", 1
"svglite", "%||%", 1, 0, 0, "integer[]", 1
"svglite", "alias_lookup", -1, 0, 0, "character[]", 1
"svglite", "compact", -1, 0, 0, "(character | list<any>)", 1
"svglite", "compact", 0, 0, 0, "character", 1
"svglite", "compact", 0, 0, 1, "list<any>", 1
"svglite", "FUN", -1, 0, 0, "(character | list<any>)", 1
"svglite", "FUN", 0, 0, 0, "character", 1
"svglite", "FUN", 0, 0, 1, "list<any>", 1
"svglite", "get_svg_content", -1, 0, 0, "character", 1
"svglite", "get_svg_content", 0, 0, 0, "externalptr", 1
"svglite", "htmlSVG", -1, 0, 0, "class<`character`, `html`>", 1
"svglite", "htmlSVG", 0, 0, 0, "class<`histogram`>", 1
"svglite", "htmlSVG", 0, 0, 1, "null", 1
"svglite", "htmlSVG", 1, 0, 0, "...", 1
"svglite", "ilapply", -1, 0, 0, "list<any>", 1
"svglite", "ilapply", 0, 0, 0, "list<any>", 1
"svglite", "ilapply", 1, 0, 0, "class<`function`>", 1
"svglite", "ilapply", 2, 0, 0, "...", 1
"svglite", "inlineSVG", -1, 0, 0, "character", 1
"svglite", "inlineSVG", 0, 0, 0, "class<`histogram`>", 1
"svglite", "inlineSVG", 0, 0, 1, "null", 1
"svglite", "inlineSVG", 1, 0, 0, "...", 1
"svglite", "inlineSVG", 2, 0, 0, "null", 1
"svglite", "inlineSVG", 2, 0, 1, "double", 1
"svglite", "inlineSVG", 3, 0, 0, "null", 1
"svglite", "inlineSVG", 3, 0, 1, "double", 1
"svglite", "is_scalar_character", -1, 0, 0, "logical", 1
"svglite", "is_scalar_character", 0, 0, 0, "character", 1
"svglite", "plot_dim", -1, 0, 0, "double[]", 1
"svglite", "plot_dim", 0, 0, 0, "double[]", 1
"svglite", "plot_dim", 0, 0, 1, "^logical[]", 1
"svglite", "stringSVG", -1, 0, 0, "class<`svg`>", 1
"svglite", "stringSVG", 0, 0, 0, "null", 1
"svglite", "stringSVG", 1, 0, 0, "...", 1
"svglite", "svglite", -1, 0, 0, "logical", 1
"svglite", "svglite", 0, 0, 0, "character", 1
"svglite", "svglite", 1, 0, 0, "double", 1
"svglite", "svglite", 2, 0, 0, "double", 1
"svglite", "svglite", 3, 0, 0, "character", 1
"svglite", "svglite", 4, 0, 0, "double", 1
"svglite", "svglite", 5, 0, 0, "logical", 1
"svglite", "svglite", 6, 0, 0, "list<any>", 1
"svglite", "svglite", 7, 0, 0, "list<any>", 1
"svglite", "svglite_", -1, 0, 0, "logical", 1
"svglite", "svglite_", 0, 0, 0, "character", 1
"svglite", "svglite_", 1, 0, 0, "character", 1
"svglite", "svglite_", 2, 0, 0, "double", 1
"svglite", "svglite_", 3, 0, 0, "double", 1
"svglite", "svglite_", 4, 0, 0, "double", 1
"svglite", "svglite_", 5, 0, 0, "logical", 1
"svglite", "svglite_", 6, 0, 0, "list<list<any>>", 1
"svglite", "svgstring", -1, 0, 0, "class<`function`>", 1
"svglite", "svgstring", 0, 0, 0, "double", 1
"svglite", "svgstring", 1, 0, 0, "double", 1
"svglite", "svgstring", 2, 0, 0, "character", 1
"svglite", "svgstring", 3, 0, 0, "double", 1
"svglite", "svgstring", 4, 0, 0, "logical", 1
"svglite", "svgstring", 5, 0, 0, "list<any>", 1
"svglite", "svgstring", 6, 0, 0, "list<any>", 1
"svglite", "svgstring_", -1, 0, 0, "externalptr", 1
"svglite", "svgstring_", 0, 0, 0, "environment", 1
"svglite", "svgstring_", 1, 0, 0, "character", 1
"svglite", "svgstring_", 2, 0, 0, "double", 1
"svglite", "svgstring_", 3, 0, 0, "double", 1
"svglite", "svgstring_", 4, 0, 0, "double", 1
"svglite", "svgstring_", 5, 0, 0, "logical", 1
"svglite", "svgstring_", 6, 0, 0, "list<list<any>>", 1
"svglite", "validate_aliases", -1, 0, 0, "list<list<any>>", 1
"svglite", "validate_aliases", 0, 0, 0, "list<any>", 1
"svglite", "validate_aliases", 1, 0, 0, "list<any>", 1
"svglite", "xmlSVG", -1, 0, 0, "class<`xml_document`, `xml_node`>", 1
"svglite", "xmlSVG", 0, 0, 0, "null", 1
"svglite", "xmlSVG", 1, 0, 0, "...", 1
"svglite", "xmlSVG", 2, 0, 0, "logical", 1
"svglite", "xmlSVG", 3, 0, 0, "double", 1
"svglite", "xmlSVG", 4, 0, 0, "double", 1
