package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"testit", "%==%", -1, 0, 0, "logical", 1
"testit", "%==%", 0, 0, 0, "double", 1
"testit", "%==%", 0, 0, 1, "integer[]", 1
"testit", "%==%", 0, 0, 2, "null", 1
"testit", "%==%", 1, 0, 0, "double", 1
"testit", "%==%", 1, 0, 1, "integer[]", 1
"testit", "%==%", 1, 0, 2, "null", 1
"testit", "all_true", -1, 0, 0, "logical", 1
"testit", "all_true", 0, 0, 0, "character", 1
"testit", "all_true", 0, 0, 1, "logical[]", 1
"testit", "assert", -1, 0, 0, "(null | list<null | class<`function`> | list<null>>)", 1
"testit", "assert", 0, 0, 0, "any", 1
"testit", "assert", 1, 0, 0, "...", 1
"testit", "assert2", -1, 0, 0, "any", 1
"testit", "assert2", 0, 0, 0, "character", 1
"testit", "assert2", 0, 0, 1, "null", 1
"testit", "assert2", 1, 0, 0, "class<`call`>", 1
"testit", "assert2", 2, 0, 0, "environment", 1
"testit", "assert2", 3, 0, 0, "logical", 1
"testit", "available_dir", -1, 0, 0, "any", 1
"testit", "available_dir", 0, 0, 0, "character[]", 1
"testit", "deparse_key", -1, 0, 0, "character", 1
"testit", "deparse_key", 0, 0, 0, "character", 1
"testit", "deparse_key", 0, 0, 1, "class<`call`>", 1
"testit", "deparse_key", 0, 0, 2, "class<`if`>", 1
"testit", "deparse_key", 0, 0, 3, "double", 1
"testit", "has_error", -1, 0, 0, "logical", 1
"testit", "has_error", 0, 0, 0, "any", 1
"testit", "has_error", 1, 0, 0, "any", 1
"testit", "has_warning", -1, 0, 0, "logical", 1
"testit", "has_warning", 0, 0, 0, "character", 1
"testit", "has_warning", 0, 0, 1, "double", 1
"testit", "has_warning", 0, 0, 2, "integer[]", 1
"testit", "insert_identical", -1, 0, 0, "any", 1
"testit", "one_expression", -1, 0, 0, "logical", 1
"testit", "one_expression", 0, 0, 0, "class<`call`>", 1
"testit", "sys.source2", -1, 0, 0, "null", 1
"testit", "sys.source2", 0, 0, 0, "character", 1
"testit", "sys.source2", 1, 0, 0, "environment", 1
"testit", "sys.source2", 2, 0, 0, "environment", 1
"testit", "test_pkg", -1, 0, 0, "null", 1
"testit", "test_pkg", 0, 0, 0, "character", 1
"testit", "test_pkg", 1, 0, 0, "character[]", 1
