package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"tfplot", "addDate", -1, 0, 0, "double[]", 1
"tfplot", "addDate", 0, 0, 0, "double[]", 1
"tfplot", "addDate", 1, 0, 0, "double", 1
"tfplot", "addDate", 2, 0, 0, "double", 1
"tfplot", "annualizedGrowth", -1, 0, 0, "(class<`matrix`, `mts`, `ts`> | class<`ts`>)", 1
"tfplot", "annualizedGrowth", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "annualizedGrowth", 0, 0, 1, "class<`ts`>", 1
"tfplot", "annualizedGrowth", 1, 0, 0, "...", 1
"tfplot", "annualizedGrowth.default", -1, 0, 0, "(class<`matrix`, `mts`, `ts`> | class<`ts`>)", 1
"tfplot", "annualizedGrowth.default", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "annualizedGrowth.default", 0, 0, 1, "class<`ts`>", 1
"tfplot", "annualizedGrowth.default", 1, 0, 0, "double", 1
"tfplot", "annualizedGrowth.default", 2, 0, 0, "double", 1
"tfplot", "annualizedGrowth.default", 3, 0, 0, "character[]", 1
"tfplot", "annualizedGrowth.default", 4, 0, 0, "...", 1
"tfplot", "diffLog", -1, 0, 0, "(class<`matrix`> | class<`matrix`, `mts`, `ts`>)", 1
"tfplot", "diffLog", 0, 0, 0, "class<`matrix`>", 1
"tfplot", "diffLog", 0, 0, 1, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "diffLog", 1, 0, 0, "double", 1
"tfplot", "diffLog", 2, 0, 0, "any", 1
"tfplot", "diffLog", 3, 0, 0, "any", 1
"tfplot", "diffLog.default", -1, 0, 0, "(class<`matrix`> | class<`matrix`, `mts`, `ts`>)", 1
"tfplot", "diffLog.default", 0, 0, 0, "class<`matrix`>", 1
"tfplot", "diffLog.default", 0, 0, 1, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "diffLog.default", 1, 0, 0, "double", 1
"tfplot", "diffLog.default", 2, 0, 0, "double", 1
"tfplot", "diffLog.default", 3, 0, 0, "character[]", 1
"tfplot", "filter", -1, 0, 0, "logical[]", 1
"tfplot", "filter", 0, 0, 0, "character[]", 1
"tfplot", "percentChange", -1, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "percentChange", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "percentChange", 1, 0, 0, "...", 1
"tfplot", "percentChange.default", -1, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "percentChange.default", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "percentChange.default", 1, 0, 0, "null", 1
"tfplot", "percentChange.default", 2, 0, 0, "double", 1
"tfplot", "percentChange.default", 3, 0, 0, "logical", 1
"tfplot", "percentChange.default", 4, 0, 0, "logical", 1
"tfplot", "percentChange.default", 5, 0, 0, "...", 1
"tfplot", "tfOnePlot", -1, 0, 0, "(class<`matrix`, `mts`, `ts`> | class<`ts`>)", 1
"tfplot", "tfOnePlot", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "tfOnePlot", 0, 0, 1, "class<`ts`>", 1
"tfplot", "tfOnePlot", 1, 0, 0, "any", 1
"tfplot", "tfOnePlot", 2, 0, 0, "double[]", 1
"tfplot", "tfOnePlot", 3, 0, 0, "double[]", 1
"tfplot", "tfOnePlot", 4, 0, 0, "null", 1
"tfplot", "tfOnePlot", 4, 0, 1, "character", 1
"tfplot", "tfOnePlot", 5, 0, 0, "null", 1
"tfplot", "tfOnePlot", 5, 0, 1, "character", 1
"tfplot", "tfOnePlot", 6, 0, 0, "character", 1
"tfplot", "tfOnePlot", 6, 0, 1, "null", 1
"tfplot", "tfOnePlot", 7, 0, 0, "character[]", 1
"tfplot", "tfOnePlot", 7, 0, 1, "integer[]", 1
"tfplot", "tfOnePlot", 8, 0, 0, "double", 1
"tfplot", "tfOnePlot", 9, 0, 0, "double", 1
"tfplot", "tfOnePlot", 10, 0, 0, "character[]", 1
"tfplot", "tfOnePlot", 10, 0, 1, "integer[]", 1
"tfplot", "tfOnePlot", 11, 0, 0, "null", 1
"tfplot", "tfplot", -1, 0, 0, "null", 1
"tfplot", "tfplot", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "tfplot", 0, 0, 1, "class<`ts`>", 1
"tfplot", "tfplot", 1, 0, 0, "...", 1
"tfplot", "tfplot.default", -1, 0, 0, "null", 1
"tfplot", "tfplot.default", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "tfplot.default", 0, 0, 1, "class<`ts`>", 1
"tfplot", "tfplot.default", 1, 0, 0, "...", 1
"tfplot", "tfplot.default", 2, 0, 0, "any", 1
"tfplot", "tfplot.default", 3, 0, 0, "double[]", 1
"tfplot", "tfplot.default", 4, 0, 0, "double[]", 1
"tfplot", "tfplot.default", 5, 0, 0, "integer[]", 1
"tfplot", "tfplot.default", 6, 0, 0, "character", 1
"tfplot", "tfplot.default", 6, 0, 1, "null", 1
"tfplot", "tfplot.default", 7, 0, 0, "character", 1
"tfplot", "tfplot.default", 7, 0, 1, "null", 1
"tfplot", "tfplot.default", 8, 0, 0, "null", 1
"tfplot", "tfplot.default", 8, 0, 1, "character[]", 1
"tfplot", "tfplot.default", 9, 0, 0, "integer[]", 1
"tfplot", "tfplot.default", 9, 0, 1, "character[]", 1
"tfplot", "tfplot.default", 10, 0, 0, "double", 1
"tfplot", "tfplot.default", 11, 0, 0, "double", 1
"tfplot", "tfXaxis", -1, 0, 0, "double[]", 1
"tfplot", "tfXaxis", 0, 0, 0, "double[]", 1
"tfplot", "tfXaxis", 1, 0, 0, "any", 1
"tfplot", "tfYaxis", -1, 0, 0, "null", 1
"tfplot", "tfYaxis", 0, 0, 0, "logical", 1
"tfplot", "tfYaxis", 1, 0, 0, "logical", 1
"tfplot", "tfYaxis", 2, 0, 0, "character", 1
"tfplot", "tsScan", -1, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
"tfplot", "tsScan", 0, 0, 0, "character", 1
"tfplot", "tsScan", 1, 0, 0, "double", 1
"tfplot", "tsScan", 2, 0, 0, "double", 1
"tfplot", "tsScan", 3, 0, 0, "character", 1
"tfplot", "tsScan", 4, 0, 0, "character[]", 1
"tfplot", "tsScan", 5, 0, 0, "...", 1
"tfplot", "tsWrite", -1, 0, 0, "null", 1
"tfplot", "tsWrite", 0, 0, 0, "class<`matrix`, `mts`, `ts`>", 1
