package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"tidyselect", "all_of", -1, 0, 0, "character[]", 1
"tidyselect", "all_of", 0, 0, 0, "character[]", 1
"tidyselect", "any_of", -1, 0, 0, "integer", 1
"tidyselect", "any_of", 0, 0, 0, "character[]", 1
"tidyselect", "any_of", 1, 0, 0, "...", 1
"tidyselect", "any_of", 2, 0, 0, "character[]", 1
"tidyselect", "are_empty_name", -1, 0, 0, "logical[]", 1
"tidyselect", "are_empty_name", 0, 0, 0, "character[]", 1
"tidyselect", "as_indices_impl", -1, 0, 0, "any", 1
"tidyselect", "as_indices_impl", 0, 0, 0, "character[]", 1
"tidyselect", "as_indices_impl", 0, 0, 1, "integer[]", 1
"tidyselect", "as_indices_impl", 1, 0, 0, "any", 1
"tidyselect", "as_indices_impl", 2, 0, 0, "logical", 1
"tidyselect", "as_indices_sel_impl", -1, 0, 0, "any", 1
"tidyselect", "as_indices_sel_impl", 0, 0, 0, "character[]", 1
"tidyselect", "as_indices_sel_impl", 0, 0, 1, "integer[]", 1
"tidyselect", "as_indices_sel_impl", 1, 0, 0, "any", 1
"tidyselect", "as_indices_sel_impl", 2, 0, 0, "logical", 1
"tidyselect", "as_indices_sel_impl", 3, 0, 0, "any", 1
"tidyselect", "call_expand_dots", -1, 0, 0, "class<`call`>", 1
"tidyselect", "call_expand_dots", 0, 0, 0, "class<`call`>", 1
"tidyselect", "call_expand_dots", 1, 0, 0, "any", 1
"tidyselect", "call_kind", -1, 0, 0, "character", 1
"tidyselect", "call_kind", 0, 0, 0, "class<`call`>", 1
"tidyselect", "c_arg_kind", -1, 0, 0, "character", 1
"tidyselect", "c_arg_kind", 0, 0, 0, "class<`formula`, `quosure`>", 1
"tidyselect", "c_arg_kind", 0, 0, 1, "class<`name`>", 1
"tidyselect", "check_match", -1, 0, 0, "null", 1
"tidyselect", "check_match", 0, 0, 0, "character[]", 1
"tidyselect", "check_missing", -1, 0, 0, "null", 1
"tidyselect", "check_missing", 0, 0, 0, "integer[]", 1
"tidyselect", "check_negative", -1, 0, 0, "null", 1
"tidyselect", "check_negative", 0, 0, 0, "integer[]", 1
"tidyselect", "chr_as_locations", -1, 0, 0, "any", 1
"tidyselect", "chr_as_locations", 0, 0, 0, "character[]", 1
"tidyselect", "chr_as_locations", 1, 0, 0, "character[]", 1
"tidyselect", "combine_names", -1, 0, 0, "integer", 1
"tidyselect", "combine_names", 0, 0, 0, "integer", 1
"tidyselect", "combine_names", 1, 0, 0, "class<`name`>", 1
"tidyselect", "combine_names", 2, 0, 0, "class<`function`>", 1
"tidyselect", "combine_names", 3, 0, 0, "logical", 1
"tidyselect", "contains", -1, 0, 0, "integer[]", 1
"tidyselect", "contains", 0, 0, 0, "character", 1
"tidyselect", "contains", 1, 0, 0, "logical", 1
"tidyselect", "contains", 2, 0, 0, "character[]", 1
"tidyselect", "ends_with", -1, 0, 0, "integer[]", 1
"tidyselect", "ends_with", 0, 0, 0, "character", 1
"tidyselect", "ends_with", 1, 0, 0, "logical", 1
"tidyselect", "ends_with", 2, 0, 0, "character[]", 1
"tidyselect", "eval_and", -1, 0, 0, "integer", 1
"tidyselect", "eval_and", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_and", 1, 0, 0, "environment", 1
"tidyselect", "eval_and", 2, 0, 0, "environment", 1
"tidyselect", "eval_bang", -1, 0, 0, "integer[]", 1
"tidyselect", "eval_bang", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_bang", 1, 0, 0, "environment", 1
"tidyselect", "eval_bang", 2, 0, 0, "environment", 1
"tidyselect", "eval_c", -1, 0, 0, "any", 1
"tidyselect", "eval_c", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_c", 1, 0, 0, "environment", 1
"tidyselect", "eval_c", 2, 0, 0, "any", 1
"tidyselect", "eval_colon", -1, 0, 0, "integer[]", 1
"tidyselect", "eval_colon", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_colon", 1, 0, 0, "environment", 1
"tidyselect", "eval_colon", 2, 0, 0, "any", 1
"tidyselect", "eval_context", -1, 0, 0, "(character[] | integer[])", 1
"tidyselect", "eval_context", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_context", 1, 0, 0, "environment", 1
"tidyselect", "eval_or", -1, 0, 0, "integer[]", 1
"tidyselect", "eval_or", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_or", 1, 0, 0, "environment", 1
"tidyselect", "eval_or", 2, 0, 0, "environment", 1
"tidyselect", "eval_rename", -1, 0, 0, "any", 1
"tidyselect", "eval_rename", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_rename", 0, 0, 1, "class<`name`>", 1
"tidyselect", "eval_rename", 1, 0, 0, "class<`data.frame`>", 1
"tidyselect", "eval_rename", 2, 0, 0, "environment", 1
"tidyselect", "eval_rename", 3, 0, 0, "...", 1
"tidyselect", "eval_rename", 4, 0, 0, "logical", 1
"tidyselect", "eval_rename", 5, 0, 0, "null", 1
"tidyselect", "eval_select", -1, 0, 0, "integer[]", 1
"tidyselect", "eval_select", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_select", 1, 0, 0, "class<`data.frame`>", 1
"tidyselect", "eval_select", 2, 0, 0, "environment", 1
"tidyselect", "eval_select", 3, 0, 0, "...", 1
"tidyselect", "eval_select", 4, 0, 0, "null", 1
"tidyselect", "eval_select", 5, 0, 0, "null", 1
"tidyselect", "eval_select", 6, 0, 0, "logical", 1
"tidyselect", "eval_select", 7, 0, 0, "null", 1
"tidyselect", "eval_select_impl", -1, 0, 0, "(integer[] | list<any>)", 1
"tidyselect", "eval_select_impl", 0, 0, 0, "null", 1
"tidyselect", "eval_select_impl", 0, 0, 1, "class<`data.frame`>", 1
"tidyselect", "eval_select_impl", 1, 0, 0, "character[]", 1
"tidyselect", "eval_select_impl", 2, 0, 0, "class<`call`>", 1
"tidyselect", "eval_select_impl", 2, 0, 1, "class<`formula`, `quosure`>", 1
"tidyselect", "eval_select_impl", 3, 0, 0, "character[]", 1
"tidyselect", "eval_select_impl", 3, 0, 1, "null", 1
"tidyselect", "eval_select_impl", 4, 0, 0, "character[]", 1
"tidyselect", "eval_select_impl", 4, 0, 1, "null", 1
"tidyselect", "eval_select_impl", 5, 0, 0, "logical", 1
"tidyselect", "eval_select_impl", 6, 0, 0, "class<`function`>", 1
"tidyselect", "eval_select_impl", 6, 0, 1, "null", 1
"tidyselect", "eval_select_impl", 7, 0, 0, "logical", 1
"tidyselect", "eval_select_impl", 7, 0, 1, "null", 1
"tidyselect", "eval_select_impl", 8, 0, 0, "character", 1
"tidyselect", "eval_slash", -1, 0, 0, "integer", 1
"tidyselect", "eval_slash", 0, 0, 0, "class<`call`>", 1
"tidyselect", "eval_slash", 1, 0, 0, "environment", 1
"tidyselect", "eval_slash", 2, 0, 0, "environment", 1
"tidyselect", "eval_sym", -1, 0, 0, "integer", 1
"tidyselect", "eval_sym", 0, 0, 0, "class<`name`>", 1
"tidyselect", "eval_sym", 1, 0, 0, "environment", 1
"tidyselect", "eval_sym", 2, 0, 0, "any", 1
"tidyselect", "eval_sym", 3, 0, 0, "logical", 1
"tidyselect", "everything", -1, 0, 0, "integer[]", 1
"tidyselect", "everything", 0, 0, 0, "character[]", 1
"tidyselect", "expr_kind", -1, 0, 0, "character", 1
"tidyselect", "expr_kind", 0, 0, 0, "class<`call`>", 1
"tidyselect", "expr_kind", 0, 0, 1, "class<`name`>", 1
"tidyselect", "expr_kind", 0, 0, 2, "integer[]", 1
"tidyselect", "flat_map_int", -1, 0, 0, "integer[]", 1
"tidyselect", "flat_map_int", 0, 0, 0, "character[]", 1
"tidyselect", "flat_map_int", 1, 0, 0, "class<`function`>", 1
"tidyselect", "flat_map_int", 2, 0, 0, "...", 1
"tidyselect", "instrument_base_errors", -1, 0, 0, "any", 1
"tidyselect", "instrument_base_errors", 0, 0, 0, "any", 1
"tidyselect", "is_character", -1, 0, 0, "logical", 1
"tidyselect", "is_character", 0, 0, 0, "character[]", 1
"tidyselect", "is_character", 1, 0, 0, "null", 1
"tidyselect", "is_data_dups", -1, 0, 0, "logical", 1
"tidyselect", "is_data_dups", 0, 0, 0, "integer", 1
"tidyselect", "isNamespaceLoaded", -1, 0, 0, "logical", 1
"tidyselect", "isNamespaceLoaded", 0, 0, 0, "character", 1
"tidyselect", "is_negated", -1, 0, 0, "logical", 1
"tidyselect", "is_negated", 0, 0, 0, "class<`formula`, `quosure`>", 1
"tidyselect", "is_negated", 0, 0, 1, "class<`name`>", 1
"tidyselect", "is_negated_colon", -1, 0, 0, "logical", 1
"tidyselect", "is_negated_colon", 0, 0, 0, "class<`call`>", 1
"tidyselect", "is_negated_colon", 0, 0, 1, "class<`formula`, `quosure`>", 1
"tidyselect", "is_negated_colon", 0, 0, 2, "class<`name`>", 1
"tidyselect", "last_col", -1, 0, 0, "integer", 1
"tidyselect", "last_col", 0, 0, 0, "double", 1
"tidyselect", "last_col", 1, 0, 0, "character[]", 1
"tidyselect", "local_data", -1, 0, 0, "null", 1
"tidyselect", "local_data", 0, 0, 0, "class<`data.frame`>", 1
"tidyselect", "local_data", 0, 0, 1, "null", 1
"tidyselect", "local_data", 1, 0, 0, "environment", 1
"tidyselect", "local_vars", -1, 0, 0, "(character[] | null)", 1
"tidyselect", "local_vars", 0, 0, 0, "character[]", 1
"tidyselect", "local_vars", 1, 0, 0, "environment", 1
"tidyselect", "loc_validate", -1, 0, 0, "integer[]", 1
"tidyselect", "loc_validate", 0, 0, 0, "integer[]", 1
"tidyselect", "loc_validate", 1, 0, 0, "character[]", 1
"tidyselect", "matches", -1, 0, 0, "integer[]", 1
"tidyselect", "matches", 0, 0, 0, "character", 1
"tidyselect", "matches", 1, 0, 0, "logical", 1
"tidyselect", "matches", 2, 0, 0, "logical", 1
"tidyselect", "matches", 3, 0, 0, "character[]", 1
"tidyselect", "match_vars", -1, 0, 0, "integer[]", 1
"tidyselect", "match_vars", 0, 0, 0, "character[]", 1
"tidyselect", "match_vars", 1, 0, 0, "character[]", 1
"tidyselect", "maybe_hotpatch_dplyr", -1, 0, 0, "logical", 1
"tidyselect", "maybe_hotpatch_dplyr", 0, 0, 0, "...", 1
"tidyselect", "named", -1, 0, 0, "integer[]", 1
"tidyselect", "named", 0, 0, 0, "integer[]", 1
"tidyselect", "node_compact_missing", -1, 0, 0, "class<`call`>", 1
"tidyselect", "node_compact_missing", 0, 0, 0, "class<`call`>", 1
"tidyselect", "node_poke_tail", -1, 0, 0, "class<`list`, `quosures`>", 1
"tidyselect", "node_poke_tail", 0, 0, 0, "class<`list`, `quosures`>", 1
"tidyselect", "node_poke_tail", 1, 0, 0, "null", 1
"tidyselect", "node_tail", -1, 0, 0, "class<`list`, `quosures`>", 1
"tidyselect", "node_tail", 0, 0, 0, "class<`list`, `quosures`>", 1
"tidyselect", "one_of", -1, 0, 0, "integer[]", 1
"tidyselect", "one_of", 0, 0, 0, "...", 1
"tidyselect", "one_of", 1, 0, 0, "character[]", 1
"tidyselect", "peek_vars", -1, 0, 0, "character[]", 1
"tidyselect", "peek_vars", 0, 0, 0, "...", 1
"tidyselect", "peek_vars", 1, 0, 0, "character", 1
"tidyselect", "peek_vars", 1, 0, 1, "null", 1
"tidyselect", "poke_data", -1, 0, 0, "(null | class<`data.frame`>)", 1
"tidyselect", "poke_data", 0, 0, 0, "class<`data.frame`>", 1
"tidyselect", "poke_data", 0, 0, 1, "null", 1
"tidyselect", "poke_vars", -1, 0, 0, "(character[] | null)", 1
"tidyselect", "poke_vars", 0, 0, 0, "character[]", 1
"tidyselect", "poke_vars", 0, 0, 1, "null", 1
"tidyselect", "propagate_names", -1, 0, 0, "class<`data.frame`>", 1
"tidyselect", "propagate_names", 0, 0, 0, "class<`data.frame`>", 1
"tidyselect", "propagate_names", 1, 0, 0, "any", 1
"tidyselect", "pull_as_location2", -1, 0, 0, "integer", 1
