package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"timeSeries", "::", -1, 0, 0, "class<`timeSeries`>", 1
"timeSeries", "::", 0, 0, 0, "class<`timeSeries`>", 1
"timeSeries", "::", 1, 0, 0, "class<`matrix`>", 1
"timeSeries", "::", 2, 0, 0, "logical", 1
"timeSeries", "%||%", -1, 0, 0, "(character[] | double[])", 1
"timeSeries", "%||%", 0, 0, 0, "character[]", 1
"timeSeries", "%||%", 0, 0, 1, "null", 1
"timeSeries", "%||%", 0, 0, 2, "double[]", 1
"timeSeries", "%||%", 1, 0, 0, "any", 1
"timeSeries", "aggregate", -1, 0, 0, "class<`timeSeries`>", 1
"timeSeries", "aggregate", 0, 0, 0, "class<`timeSeries`>", 1
"timeSeries", "aggregate", 1, 0, 0, "...", 1
"timeSeries", ".aggregate.timeSeries", -1, 0, 0, "class<`timeSeries`>", 1
"timeSeries", ".aggregate.timeSeries", 0, 0, 0, "class<`timeSeries`>", 1
"timeSeries", ".aggregate.timeSeries", 1, 0, 0, "class<`timeDate`>", 1
"timeSeries", ".aggregate.timeSeries", 2, 0, 0, "class<`function`>", 1
"timeSeries", ".aggregate.timeSeries", 3, 0, 0, "...", 1
"timeSeries", "alignDailySeries", -1, 0, 0, "class<`timeSeries`>", 1
"timeSeries", "alignDailySeries", 0, 0, 0, "class<`timeSeries`>", 1
"timeSeries", "alignDailySeries", 1, 0, 0, "character[]", 1
"timeSeries", "alignDailySeries", 2, 0, 0, "logical", 1
"timeSeries", "alignDailySeries", 3, 0, 0, "null", 1
"timeSeries", "alignDailySeries", 4, 0, 0, "character", 1
"timeSeries", "alignDailySeries", 5, 0, 0, "character", 1
"timeSeries", "alignDailySeries", 6, 0, 0, "...", 1
"timeSeries", ".align.timeSeries", -1, 0, 0, "class<`timeSeries`>", 1
"timeSeries", ".align.timeSeries", 0, 0, 0, "class<`timeSeries`>", 1
"timeSeries", ".align.timeSeries", 1, 0, 0, "character", 1
"timeSeries", ".align.timeSeries", 2, 0, 0, "character", 1
"timeSeries", ".align.timeSeries", 3, 0, 0, "character[]", 1
"timeSeries", ".align.timeSeries", 4, 0, 0, "logical", 1
"timeSeries", ".align.timeSeries", 5, 0, 0, "...", 1
"timeSeries", ".appendList", -1, 0, 0, "list<any>", 1
"timeSeries", ".appendList", 0, 0, 0, "null", 1
"timeSeries", ".appendList", 0, 0, 1, "list<any>", 1
"timeSeries", ".appendList", 1, 0, 0, "null", 1
"timeSeries", "apply", -1, 0, 0, "(class<`matrix`> | class<`timeSeries`>)", 1
