package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"triangle", "dltriangle", -1, 0, 0, "double", 1
"triangle", "dltriangle", 0, 0, 0, "double", 1
"triangle", "dltriangle", 1, 0, 0, "double", 1
"triangle", "dltriangle", 2, 0, 0, "double", 1
"triangle", "dltriangle", 3, 0, 0, "double", 1
"triangle", "dltriangle", 4, 0, 0, "double", 1
"triangle", "dtriangle", -1, 0, 0, "double", 1
"triangle", "dtriangle", 0, 0, 0, "double", 1
"triangle", "dtriangle", 1, 0, 0, "double", 1
"triangle", "dtriangle", 2, 0, 0, "double", 1
"triangle", "dtriangle", 3, 0, 0, "double", 1
"triangle", "pltriangle", -1, 0, 0, "double", 1
"triangle", "pltriangle", 0, 0, 0, "double", 1
"triangle", "pltriangle", 1, 0, 0, "double", 1
"triangle", "pltriangle", 2, 0, 0, "double", 1
"triangle", "pltriangle", 3, 0, 0, "double", 1
"triangle", "pltriangle", 4, 0, 0, "double", 1
"triangle", "ptriangle", -1, 0, 0, "double", 1
"triangle", "ptriangle", 0, 0, 0, "double", 1
"triangle", "ptriangle", 1, 0, 0, "double", 1
"triangle", "ptriangle", 2, 0, 0, "double", 1
"triangle", "ptriangle", 3, 0, 0, "double", 1
"triangle", "qltriangle", -1, 0, 0, "double", 1
"triangle", "qltriangle", 0, 0, 0, "double", 1
"triangle", "qltriangle", 1, 0, 0, "double", 1
"triangle", "qltriangle", 2, 0, 0, "double", 1
"triangle", "qltriangle", 3, 0, 0, "double", 1
"triangle", "qltriangle", 4, 0, 0, "double", 1
"triangle", "qtriangle", -1, 0, 0, "double", 1
"triangle", "qtriangle", 0, 0, 0, "double", 1
"triangle", "qtriangle", 1, 0, 0, "double", 1
"triangle", "qtriangle", 2, 0, 0, "double", 1
"triangle", "qtriangle", 3, 0, 0, "double", 1
"triangle", "rltriangle", -1, 0, 0, "double[]", 1
"triangle", "rltriangle", 0, 0, 0, "double", 1
"triangle", "rltriangle", 1, 0, 0, "double", 1
"triangle", "rltriangle", 2, 0, 0, "double", 1
"triangle", "rltriangle", 3, 0, 0, "double", 1
"triangle", "rltriangle", 4, 0, 0, "double", 1
"triangle", "rtriangle", -1, 0, 0, "double[]", 1
"triangle", "rtriangle", 0, 0, 0, "double", 1
"triangle", "rtriangle", 1, 0, 0, "double", 1
"triangle", "rtriangle", 2, 0, 0, "double", 1
"triangle", "rtriangle", 3, 0, 0, "double", 1
