package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"truncdist", "dtrunc", -1, 0, 0, "double[]", 1
"truncdist", "dtrunc", 0, 0, 0, "double[]", 1
"truncdist", "dtrunc", 1, 0, 0, "character", 1
"truncdist", "dtrunc", 2, 0, 0, "double", 1
"truncdist", "dtrunc", 3, 0, 0, "double", 1
"truncdist", "dtrunc", 4, 0, 0, "...", 1
"truncdist", "extrunc", -1, 0, 0, "double", 1
"truncdist", "extrunc", 0, 0, 0, "character", 1
"truncdist", "extrunc", 1, 0, 0, "double", 1
"truncdist", "extrunc", 2, 0, 0, "double", 1
"truncdist", "extrunc", 3, 0, 0, "...", 1
"truncdist", "ptrunc", -1, 0, 0, "double[]", 1
"truncdist", "ptrunc", 0, 0, 0, "double[]", 1
"truncdist", "ptrunc", 1, 0, 0, "character", 1
"truncdist", "ptrunc", 2, 0, 0, "double", 1
"truncdist", "ptrunc", 3, 0, 0, "double", 1
"truncdist", "ptrunc", 4, 0, 0, "...", 1
"truncdist", "qqtrunc", -1, 0, 0, "double", 1
"truncdist", "qqtrunc", 0, 0, 0, "double[]", 1
"truncdist", "qqtrunc", 1, 0, 0, "character", 1
"truncdist", "qqtrunc", 2, 0, 0, "double", 1
"truncdist", "qqtrunc", 3, 0, 0, "double", 1
"truncdist", "qqtrunc", 4, 0, 0, "character", 1
"truncdist", "qqtrunc", 5, 0, 0, "character", 1
"truncdist", "qqtrunc", 6, 0, 0, "character", 1
"truncdist", "qqtrunc", 7, 0, 0, "...", 1
"truncdist", "qtrunc", -1, 0, 0, "double[]", 1
"truncdist", "qtrunc", 0, 0, 0, "double[]", 1
"truncdist", "qtrunc", 1, 0, 0, "character", 1
"truncdist", "qtrunc", 2, 0, 0, "double", 1
"truncdist", "qtrunc", 3, 0, 0, "double", 1
"truncdist", "qtrunc", 4, 0, 0, "...", 1
"truncdist", "rtrunc", -1, 0, 0, "double[]", 1
"truncdist", "rtrunc", 0, 0, 0, "double", 1
"truncdist", "rtrunc", 1, 0, 0, "character", 1
"truncdist", "rtrunc", 2, 0, 0, "double", 1
"truncdist", "rtrunc", 3, 0, 0, "double", 1
"truncdist", "rtrunc", 4, 0, 0, "...", 1
"truncdist", "vartrunc", -1, 0, 0, "double", 1
"truncdist", "vartrunc", 0, 0, 0, "character", 1
"truncdist", "vartrunc", 1, 0, 0, "double", 1
"truncdist", "vartrunc", 2, 0, 0, "double", 1
"truncdist", "vartrunc", 3, 0, 0, "...", 1
