package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"trust", "check.objfun.output", -1, 0, 0, "logical", 1
"trust", "check.objfun.output", 0, 0, 0, "list<double[] | class<`matrix`> | double>", 1
"trust", "check.objfun.output", 1, 0, 0, "logical", 1
"trust", "check.objfun.output", 2, 0, 0, "any", 1
"trust", "norm", -1, 0, 0, "double", 1
"trust", "norm", 0, 0, 0, "double[]", 1
"trust", "trust", -1, 0, 0, "any", 1
"trust", "trust", 0, 0, 0, "class<`function`>", 1
"trust", "trust", 1, 0, 0, "double[]", 1
"trust", "trust", 2, 0, 0, "double", 1
"trust", "trust", 3, 0, 0, "double", 1
"trust", "trust", 4, 0, 0, "any", 1
"trust", "trust", 5, 0, 0, "double", 1
"trust", "trust", 6, 0, 0, "any", 1
"trust", "trust", 7, 0, 0, "any", 1
"trust", "trust", 8, 0, 0, "logical", 1
"trust", "trust", 9, 0, 0, "logical", 1
"trust", "trust", 10, 0, 0, "...", 1
