package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"tsibble", "abort_if_irregular", -1, 0, 0, "null", 1
"tsibble", "abort_if_irregular", 0, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "abort_not_chr", -1, 0, 0, "null", 1
"tsibble", "abort_not_chr", 0, 0, 0, "character", 1
"tsibble", "abort_not_chr", 1, 0, 0, "character", 1
"tsibble", "abort_not_lst", -1, 0, 0, "null", 1
"tsibble", "abort_not_lst", 0, 0, 0, "class<`data.frame`>", 1
"tsibble", "abort_not_lst", 0, 0, 1, "class<`Date`>", 1
"tsibble", "abort_not_lst", 0, 0, 2, "class<`POSIXct`, `POSIXt`>", 1
"tsibble", "abort_not_lst", 0, 0, 3, "^double[]", 1
"tsibble", "abort_not_lst", 0, 0, 4, "list<class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`> | integer[]>", 1
"tsibble", "abort_not_lst", 1, 0, 0, "any", 1
"tsibble", "abort_unknown_interval", -1, 0, 0, "null", 1
"tsibble", "abort_unknown_interval", 0, 0, 0, "class<`interval`>", 1
"tsibble", "angle_brackets", -1, 0, 0, "character", 1
"tsibble", "angle_brackets", 0, 0, 0, "character", 1
"tsibble", "append_row", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "append_row", 0, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "append_row", 1, 0, 0, "double", 1
"tsibble", "append_row", 2, 0, 0, "...", 1
"tsibble", "append_row.tbl_ts", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "append_row.tbl_ts", 0, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "append_row.tbl_ts", 1, 0, 0, "double", 1
"tsibble", "append_row.tbl_ts", 2, 0, 0, "...", 1
"tsibble", "are_duplicated", -1, 0, 0, "logical[]", 1
"tsibble", "are_duplicated", 0, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"tsibble", "are_duplicated", 1, 0, 0, "any", 1
"tsibble", "are_duplicated", 2, 0, 0, "any", 1
"tsibble", "are_duplicated", 3, 0, 0, "logical", 1
"tsibble", "arrange.tbl_ts", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "arrange.tbl_ts", 0, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`, `tbl_ts`>", 1
"tsibble", "arrange.tbl_ts", 1, 0, 0, "...", 1
"tsibble", "as.data.frame.tbl_ts", -1, 0, 0, "class<`data.frame`>", 1
