package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"units", ":::", -1, 0, 0, "(character[] | logical | list<any>)", 1
"units", ":::", 0, 0, 0, "...", 1
"units", ":::", 1, 0, 0, "any", 1
"units", ":::", 2, 0, 0, "any", 1
"units", ":::", 3, 0, 0, "any", 1
"units", ":::", 4, 0, 0, "any", 1
"units", ":::", 5, 0, 0, "any", 1
"units", ":::", 6, 0, 0, "any", 1
"units", ":::", 7, 0, 0, "any", 1
"units", ":::", 8, 0, 0, "any", 1
"units", ":::", 9, 0, 0, "any", 1
"units", ":::", 10, 0, 0, "any", 1
"units", "%|%", -1, 0, 0, "character", 1
"units", "%|%", 0, 0, 0, "character", 1
"units", "%|%", 0, 0, 1, "null", 1
"units", "%|%", 1, 0, 0, "character", 1
"units", "all.equal.units", -1, 0, 0, "logical", 1
"units", "all.equal.units", 0, 0, 0, "class<`units`>", 1
"units", "all.equal.units", 1, 0, 0, "class<`units`>", 1
"units", "all.equal.units", 2, 0, 0, "...", 1
"units", "are_convertible", -1, 0, 0, "logical", 1
"units", "are_convertible", 0, 0, 0, "character", 1
"units", "are_convertible", 1, 0, 0, "character", 1
"units", "are_exponents_implicit", -1, 0, 0, "logical", 1
"units", "are_exponents_implicit", 0, 0, 0, "character", 1
"units", "as.character.symbolic_units", -1, 0, 0, "character", 1
"units", "as.character.symbolic_units", 0, 0, 0, "class<`symbolic_units`>", 1
"units", "as.character.symbolic_units", 1, 0, 0, "...", 1
"units", "as.character.symbolic_units", 2, 0, 0, "any", 1
"units", "as.character.symbolic_units", 3, 0, 0, "logical", 1
"units", "as.character.symbolic_units", 4, 0, 0, "character", 1
"units", "as.data.frame.units", -1, 0, 0, "class<`data.frame`>", 1
"units", "as.data.frame.units", 0, 0, 0, "class<`units`>", 1
"units", "as.data.frame.units", 1, 0, 0, "null", 1
"units", "as.data.frame.units", 2, 0, 0, "logical", 1
"units", "as.data.frame.units", 3, 0, 0, "...", 1
"units", "as_difftime", -1, 0, 0, "class<`difftime`>", 1
"units", "as_difftime", 0, 0, 0, "class<`units`>", 1
"units", ".as.mixed_units", -1, 0, 0, "class<`mixed_units`>", 1
"units", ".as.mixed_units", 0, 0, 0, "list<class<`units`>>", 1
"units", ".as.units", -1, 0, 0, "class<`units`>", 1
"units", ".as.units", 0, 0, 0, "class<`units`>", 1
"units", ".as.units", 0, 0, 1, "double[]", 1
"units", ".as.units", 1, 0, 0, "class<`symbolic_units`>", 1
"units", ".as.units", 2, 0, 0, "any", 1
"units", "as_units", -1, 0, 0, "(class<`units`> | null)", 1
"units", "as_units", 0, 0, 0, "character", 1
"units", "as_units", 0, 0, 1, "class<`call`>", 1
"units", "as_units", 0, 0, 2, "class<`difftime`>", 1
"units", "as_units", 0, 0, 3, "class<`name`>", 1
"units", "as_units", 0, 0, 4, "class<`symbolic_units`>", 1
"units", "as_units", 0, 0, 5, "class<`units`>", 1
"units", "as_units", 0, 0, 6, "double[]", 1
"units", "as_units", 0, 0, 7, "null", 1
"units", "as_units", 1, 0, 0, "...", 1
"units", "as_units.call", -1, 0, 0, "class<`units`>", 1
"units", "as_units.call", 0, 0, 0, "class<`call`>", 1
"units", "as_units.call", 0, 0, 1, "class<`name`>", 1
"units", "as_units.call", 1, 0, 0, "logical", 1
"units", "as_units.call", 2, 0, 0, "...", 1
"units", "as_units.character", -1, 0, 0, "class<`units`>", 1
"units", "as_units.character", 0, 0, 0, "character", 1
"units", "as_units.character", 1, 0, 0, "logical", 1
"units", "as_units.character", 2, 0, 0, "logical", 1
