package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"utf8", "as_character_scalar", -1, 0, 0, "(character | null)", 1
"utf8", "as_character_scalar", 0, 0, 0, "any", 1
"utf8", "as_character_scalar", 1, 0, 0, "character", 1
"utf8", "as_character_scalar", 1, 0, 1, "null", 1
"utf8", "as_character_scalar", 2, 0, 0, "logical", 1
"utf8", "as_character_vector", -1, 0, 0, "character", 1
"utf8", "as_character_vector", 0, 0, 0, "any", 1
"utf8", "as_character_vector", 1, 0, 0, "character", 1
"utf8", "as_character_vector", 2, 0, 0, "logical", 1
"utf8", "as_chars", -1, 0, 0, "(integer | null)", 1
"utf8", "as_chars", 0, 0, 0, "any", 1
"utf8", "as_chars", 1, 0, 0, "double", 1
"utf8", "as_chars", 1, 0, 1, "null", 1
"utf8", "as_enum", -1, 0, 0, "character", 1
"utf8", "as_enum", 0, 0, 0, "any", 1
"utf8", "as_enum", 1, 0, 0, "character", 1
"utf8", "as_enum", 2, 0, 0, "character[]", 1
"utf8", "as_integer_scalar", -1, 0, 0, "(integer | null)", 1
"utf8", "as_integer_scalar", 0, 0, 0, "any", 1
"utf8", "as_integer_scalar", 1, 0, 0, "double", 1
"utf8", "as_integer_scalar", 1, 0, 1, "null", 1
"utf8", "as_integer_scalar", 2, 0, 0, "logical", 1
"utf8", "as_integer_vector", -1, 0, 0, "integer", 1
"utf8", "as_integer_vector", 0, 0, 0, "any", 1
"utf8", "as_integer_vector", 1, 0, 0, "double", 1
"utf8", "as_integer_vector", 2, 0, 0, "logical", 1
"utf8", "as_justify", -1, 0, 0, "character", 1
"utf8", "as_justify", 0, 0, 0, "character", 1
"utf8", "as_justify", 1, 0, 0, "character", 1
"utf8", "as_max_print", -1, 0, 0, "(integer | null)", 1
"utf8", "as_max_print", 0, 0, 0, "any", 1
"utf8", "as_max_print", 1, 0, 0, "double", 1
"utf8", "as_max_print", 1, 0, 1, "null", 1
"utf8", "as_na_print", -1, 0, 0, "null", 1
"utf8", "as_na_print", 0, 0, 0, "character", 1
"utf8", "as_na_print", 1, 0, 0, "null", 1
"utf8", "as_nonnegative", -1, 0, 0, "(integer | null)", 1
"utf8", "as_nonnegative", 0, 0, 0, "any", 1
"utf8", "as_nonnegative", 1, 0, 0, "double", 1
"utf8", "as_nonnegative", 1, 0, 1, "null", 1
"utf8", "as_option", -1, 0, 0, "logical", 1
"utf8", "as_option", 0, 0, 0, "any", 1
"utf8", "as_option", 1, 0, 0, "logical", 1
"utf8", "as_output_utf8", -1, 0, 0, "logical", 1
"utf8", "as_output_utf8", 0, 0, 0, "character", 1
"utf8", "as_output_utf8", 1, 0, 0, "logical", 1
"utf8", "as_output_utf8", 1, 0, 1, "null", 1
"utf8", "as_print_gap", -1, 0, 0, "null", 1
"utf8", "as_print_gap", 0, 0, 0, "character", 1
"utf8", "as_print_gap", 1, 0, 0, "null", 1
"utf8", "as_style", -1, 0, 0, "(character | null)", 1
"utf8", "as_style", 0, 0, 0, "character", 1
"utf8", "as_style", 1, 0, 0, "character", 1
"utf8", "as_style", 1, 0, 1, "null", 1
"utf8", "as_utf8", -1, 0, 0, "character[]", 1
"utf8", "as_utf8", 0, 0, 0, "character[]", 1
"utf8", "as_utf8", 1, 0, 0, "logical", 1
"utf8", "element_width", -1, 0, 0, "integer", 1
"utf8", "element_width", 0, 0, 0, "character", 1
"utf8", "element_width", 1, 0, 0, "logical", 1
"utf8", "element_width", 2, 0, 0, "any", 1
"utf8", "element_width", 3, 0, 0, "logical", 1
"utf8", "output_ansi", -1, 0, 0, "logical", 1
"utf8", "output_utf8", -1, 0, 0, "logical", 1
"utf8", "print_matrix", -1, 0, 0, "integer", 1
"utf8", "print_matrix", 0, 0, 0, "class<`matrix`>", 1
"utf8", "print_matrix", 1, 0, 0, "logical", 1
"utf8", "print_matrix", 2, 0, 0, "null", 1
"utf8", "print_matrix", 3, 0, 0, "integer", 1
"utf8", "print_matrix", 4, 0, 0, "logical", 1
"utf8", "print_matrix", 5, 0, 0, "integer", 1
"utf8", "print_matrix", 6, 0, 0, "character", 1
"utf8", "print_matrix", 7, 0, 0, "character", 1
"utf8", "print_matrix", 8, 0, 0, "null", 1
"utf8", "print_matrix", 9, 0, 0, "logical", 1
"utf8", "print_matrix", 10, 0, 0, "logical", 1
"utf8", "print_matrix", 11, 0, 0, "logical", 1
"utf8", "print_table", -1, 0, 0, "integer", 1
"utf8", "print_table", 0, 0, 0, "class<`matrix`>", 1
"utf8", "print_table", 1, 0, 0, "integer", 1
"utf8", "print_table", 2, 0, 0, "logical", 1
"utf8", "print_table", 3, 0, 0, "null", 1
"utf8", "print_table", 4, 0, 0, "integer", 1
"utf8", "print_table", 5, 0, 0, "logical", 1
"utf8", "print_table", 6, 0, 0, "integer", 1
"utf8", "print_table", 7, 0, 0, "character", 1
"utf8", "print_table", 7, 0, 1, "null", 1
"utf8", "print_table", 8, 0, 0, "character", 1
"utf8", "print_table", 8, 0, 1, "null", 1
"utf8", "print_table", 9, 0, 0, "null", 1
"utf8", "print_table", 10, 0, 0, "logical", 1
"utf8", "print_table", 11, 0, 0, "logical", 1
"utf8", "print_table", 12, 0, 0, "logical", 1
"utf8", "print_vector", -1, 0, 0, "integer", 1
"utf8", "print_vector", 0, 0, 0, "character", 1
"utf8", "print_vector", 1, 0, 0, "logical", 1
"utf8", "print_vector", 2, 0, 0, "null", 1
"utf8", "print_vector", 3, 0, 0, "integer", 1
"utf8", "print_vector", 4, 0, 0, "logical", 1
"utf8", "print_vector", 5, 0, 0, "integer", 1
"utf8", "print_vector", 6, 0, 0, "null", 1
"utf8", "print_vector", 7, 0, 0, "null", 1
"utf8", "print_vector", 8, 0, 0, "null", 1
"utf8", "print_vector", 9, 0, 0, "logical", 1
"utf8", "print_vector", 10, 0, 0, "logical", 1
"utf8", "print_vector", 11, 0, 0, "logical", 1
"utf8", "print_vector_unnamed", -1, 0, 0, "integer", 1
"utf8", "print_vector_unnamed", 0, 0, 0, "character", 1
"utf8", "print_vector_unnamed", 1, 0, 0, "logical", 1
"utf8", "print_vector_unnamed", 2, 0, 0, "null", 1
"utf8", "print_vector_unnamed", 3, 0, 0, "integer", 1
"utf8", "print_vector_unnamed", 4, 0, 0, "logical", 1
"utf8", "print_vector_unnamed", 5, 0, 0, "integer", 1
"utf8", "print_vector_unnamed", 6, 0, 0, "null", 1
"utf8", "print_vector_unnamed", 7, 0, 0, "null", 1
"utf8", "print_vector_unnamed", 8, 0, 0, "null", 1
"utf8", "print_vector_unnamed", 9, 0, 0, "logical", 1
