package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"variables", "::", -1, 0, 0, "struct<`name`:character, `desc`:null, `support`:double[], `bounds`:double[], `add`:double[]>", 1
"variables", "::", 0, 0, 0, "character", 1
"variables", "::", 1, 0, 0, "null", 1
"variables", "::", 2, 0, 0, "null", 1
"variables", "::", 3, 0, 0, "double[]", 1
"variables", "::", 4, 0, 0, "double[]", 1
"variables", "::", 5, 0, 0, "null", 1
"variables", ".var", -1, 0, 0, "struct<`name`:character, `desc`:null>", 1
"variables", ".var", 0, 0, 0, "character", 1
"variables", ".var", 1, 0, 0, "null", 1
"variables", ".var", 1, 0, 1, "character", 1
