package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"vcd", "cellport", -1, 0, 0, "struct<`x`:double, `y`:double, `width`:double, `height`:double, `justification`:character, `gp`:tuple<>, `clip`:logical, `xscale`:double[], `yscale`:double[], `angle`:double, `layout`:struct<`nrow`:integer, `ncol`:integer, `widths`:double, `heights`:tuple<double, struct<`fname`:character, `arg1`:double, `arg2`:double>>, `respect`:logical, `valid.respect`:integer, `respect.mat`:^integer[], `just`:character, `valid.just`:double[]>, `layout.pos.row`:null, `layout.pos.col`:null, `valid.just`:double[], `valid.pos.row`:null, `valid.pos.col`:null, `name`:character>", 1
"vcd", "cellport", 0, 0, 0, "character", 1
"vcd", "core", -1, 0, 0, "null", 1
"vcd", "core", 0, 0, 0, "symbol", 1
"vcd", "core", 1, 0, 0, "^integer[]", 1
"vcd", "core", 2, 0, 0, "language", 1
"vcd", "core", 3, 0, 0, "tuple<struct<`fname`:character, `arg1`:double[], `arg2`:double[]>, double[]>", 1
"vcd", "core", 3, 0, 1, "tuple<double, double[]>", 1
"vcd", "core", 4, 0, 0, "struct<`fill`:^character[]>", 1
"vcd", "core", 5, 0, 0, "logical[]", 1
"vcd", "core", 6, 0, 0, "character", 1
"vcd", "cotabplot.default", -1, 0, 0, "integer[]", 1
"vcd", "cotabplot.default", 0, 0, 0, "integer[]", 1
"vcd", "cotabplot.default", 1, 0, 0, "null", 1
"vcd", "cotabplot.default", 2, 0, 0, "any => any", 1
"vcd", "cotabplot.default", 3, 0, 0, "struct<`margins`:double[]>", 1
"vcd", "cotabplot.default", 4, 0, 0, "double[]", 1
"vcd", "cotabplot.default", 5, 0, 0, "null", 1
"vcd", "cotabplot.default", 6, 0, 0, "struct<`fontsize`:double>", 1
"vcd", "cotabplot.default", 7, 0, 0, "struct<`fill`:character>", 1
"vcd", "cotabplot.default", 8, 0, 0, "logical", 1
"vcd", "cotabplot.default", 9, 0, 0, "logical", 1
"vcd", "cotabplot.default", 10, 0, 0, "logical", 1
"vcd", "cotabplot.default", 11, 0, 0, "logical", 1
"vcd", "filter", -1, 0, 0, "logical[]", 1
"vcd", "filter", 0, 0, 0, "character[]", 1
"vcd", "FUN", -1, 0, 0, "^character[]", 1
"vcd", "FUN", 0, 0, 0, "^character[]", 1
"vcd", "FUN", 0, 0, 1, "^double[]", 1
