package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"vioplot", "filter", -1, 0, 0, "logical[]", 1
"vioplot", "filter", 0, 0, 0, "character[]", 1
"vioplot", "FUN", -1, 0, 0, "double[]", 1
"vioplot", "FUN", 0, 0, 0, "double[]", 1
"vioplot", "vioplot.default", -1, 0, 0, "struct<`upper`:double[], `lower`:double[], `median`:double[], `q1`:double[], `q3`:double[]>", 1
"vioplot", "vioplot.default", 0, 0, 0, "double[]", 1
"vioplot", "vioplot.default", 1, 0, 0, "double[]", 1
"vioplot", "vioplot.default", 2, 0, 0, "null", 1
"vioplot", "vioplot.default", 3, 0, 0, "double", 1
"vioplot", "vioplot.default", 4, 0, 0, "null", 1
"vioplot", "vioplot.default", 5, 0, 0, "null", 1
"vioplot", "vioplot.default", 5, 0, 1, "double[]", 1
"vioplot", "vioplot.default", 6, 0, 0, "null", 1
"vioplot", "vioplot.default", 6, 0, 1, "character[]", 1
"vioplot", "vioplot.default", 7, 0, 0, "logical", 1
"vioplot", "vioplot.default", 8, 0, 0, "character", 1
"vioplot", "vioplot.default", 9, 0, 0, "character", 1
"vioplot", "vioplot.default", 10, 0, 0, "double", 1
"vioplot", "vioplot.default", 11, 0, 0, "double", 1
"vioplot", "vioplot.default", 12, 0, 0, "character", 1
"vioplot", "vioplot.default", 13, 0, 0, "character", 1
"vioplot", "vioplot.default", 14, 0, 0, "double", 1
"vioplot", "vioplot.default", 15, 0, 0, "character", 1
"vioplot", "vioplot.default", 16, 0, 0, "character", 1
"vioplot", "vioplot.default", 17, 0, 0, "null", 1
"vioplot", "vioplot.default", 18, 0, 0, "logical", 1
"vioplot", "vioplot.formula", -1, 0, 0, "struct<`upper`:double[], `lower`:double[], `median`:double[], `q1`:double[], `q3`:double[]>", 1
"vioplot", "vioplot.formula", 0, 0, 0, "language", 1
"vioplot", "vioplot.formula", 1, 0, 0, "symbol", 1
"vioplot", "vioplot.formula", 2, 0, 0, "character", 1
"vioplot", "vioplot.formula", 2, 0, 1, "double", 1
"vioplot", "vioplot.formula", 2, 0, 2, "null", 1
"vioplot", "vioplot.formula", 3, 0, 0, "null", 1
"vioplot", "vioplot.formula", 3, 0, 1, "character[]", 1
"vioplot", "vioplot.formula", 4, 0, 0, "null", 1
"vioplot", "vioplot.formula", 4, 0, 1, "integer", 1
"vioplot", "vioplot.formula", 4, 0, 2, "character", 1
"vioplot", "vioplot.formula", 5, 0, 0, "null", 1
"vioplot", "vioplot.formula", 5, 0, 1, "integer[]", 1
"vioplot", "vioplot.formula", 6, 0, 0, "null", 1
