package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"vroom", "%||%", -1, 0, 0, "character[]", 1
"vroom", "%||%", -1, 0, 1, "integer", 1
"vroom", "%||%", -1, 0, 2, "null", 1
"vroom", "%||%", 0, 0, 0, "character[]", 1
"vroom", "%||%", 0, 0, 1, "integer", 1
"vroom", "%||%", 0, 0, 2, "null", 1
"vroom", "%||%", 1, 0, 0, "any", 1
"vroom", "altrep_vals", -1, 0, 0, "integer[]", 1
"vroom", "as.col_spec", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "as.col_spec", 0, 0, 0, "character", 1
"vroom", "as.col_spec", 0, 0, 1, "null", 1
"vroom", "as.col_spec", 0, 0, 2, "list<class<`collector`, `collector_double`> | class<`collector`, `collector_character`> | class<`collector`, `collector_double`>>", 1
"vroom", "as.col_spec.character", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "as.col_spec.character", 0, 0, 0, "character", 1
"vroom", "as.col_spec.list", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "as.col_spec.list", 0, 0, 0, "list<class<`collector`, `collector_double`> | class<`collector`, `collector_character`> | class<`collector`, `collector_double`>>", 1
"vroom", "as.col_spec.NULL", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "as.col_spec.NULL", 0, 0, 0, "null", 1
"vroom", "check_encoding", -1, 0, 0, "logical", 1
"vroom", "check_encoding", 0, 0, 0, "character", 1
"vroom", "check_path", -1, 0, 0, "character", 1
"vroom", "check_path", 0, 0, 0, "character", 1
"vroom", "check_tz", -1, 0, 0, "logical", 1
"vroom", "check_tz", 0, 0, 0, "character", 1
"vroom", "chr_to_file", -1, 0, 0, "character", 1
"vroom", "chr_to_file", 0, 0, 0, "character", 1
"vroom", "chr_to_file", 1, 0, 0, "environment", 1
"vroom", "col_character", -1, 0, 0, "class<`collector`, `collector_character`>", 1
"vroom", "col_character", 0, 0, 0, "...", 1
"vroom", "col_date", -1, 0, 0, "class<`collector`, `collector_date`>", 1
"vroom", "col_date", 0, 0, 0, "character", 1
"vroom", "col_date", 1, 0, 0, "...", 1
"vroom", "col_datetime", -1, 0, 0, "class<`collector`, `collector_datetime`>", 1
"vroom", "col_datetime", 0, 0, 0, "character", 1
"vroom", "col_datetime", 1, 0, 0, "...", 1
"vroom", "col_double", -1, 0, 0, "class<`collector`, `collector_double`>", 1
"vroom", "col_double", 0, 0, 0, "...", 1
"vroom", "col_guess", -1, 0, 0, "class<`collector`, `collector_guess`>", 1
"vroom", "col_guess", 0, 0, 0, "...", 1
"vroom", "col_integer", -1, 0, 0, "class<`collector`, `collector_integer`>", 1
"vroom", "col_integer", 0, 0, 0, "...", 1
"vroom", "collapse_transformer", -1, 0, 0, "class<`function`>", 1
"vroom", "collapse_transformer", 0, 0, 0, "character", 1
"vroom", "collapse_transformer", 1, 0, 0, "...", 1
"vroom", "collector", -1, 0, 0, "class<`collector`, `collector_character`>", 1
"vroom", "collector", -1, 0, 1, "class<`collector`, `collector_date`>", 1
"vroom", "collector", -1, 0, 2, "class<`collector`, `collector_datetime`>", 1
"vroom", "collector", -1, 0, 3, "class<`collector`, `collector_double`>", 1
"vroom", "collector", -1, 0, 4, "class<`collector`, `collector_guess`>", 1
"vroom", "collector", -1, 0, 5, "class<`collector`, `collector_integer`>", 1
"vroom", "collector", -1, 0, 6, "class<`collector`, `collector_logical`>", 1
"vroom", "collector", -1, 0, 7, "class<`collector`, `collector_number`>", 1
"vroom", "collector", -1, 0, 8, "class<`collector`, `collector_skip`>", 1
"vroom", "collector", -1, 0, 9, "class<`collector`, `collector_time`>", 1
"vroom", "collector", 0, 0, 0, "character", 1
"vroom", "collector", 1, 0, 0, "...", 1
"vroom", "col_number", -1, 0, 0, "class<`collector`, `collector_number`>", 1
"vroom", "col_number", 0, 0, 0, "...", 1
"vroom", "cols", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "cols", 0, 0, 0, "...", 1
"vroom", "cols", 1, 0, 0, "class<`collector`, `collector_guess`>", 1
"vroom", "cols", 1, 0, 1, "class<`collector`, `collector_skip`>", 1
"vroom", "cols", 2, 0, 0, "null", 1
"vroom", "cols_condense", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "cols_condense", 0, 0, 0, "class<`col_spec`>", 1
"vroom", "col_skip", -1, 0, 0, "class<`collector`, `collector_skip`>", 1
"vroom", "col_skip", 0, 0, 0, "...", 1
"vroom", "cols_only", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "cols_only", 0, 0, 0, "...", 1
"vroom", "col_spec", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "col_spec", 0, 0, 0, "list<any>", 1
"vroom", "col_spec", 1, 0, 0, "class<`collector`, `collector_guess`>", 1
"vroom", "col_spec", 1, 0, 1, "class<`collector`, `collector_skip`>", 1
"vroom", "col_spec", 2, 0, 0, "null", 1
"vroom", "col_time", -1, 0, 0, "class<`collector`, `collector_time`>", 1
"vroom", "col_time", 0, 0, 0, "character", 1
"vroom", "col_time", 1, 0, 0, "...", 1
"vroom", "col_types_standardise", -1, 0, 0, "class<`col_spec`>", 1
"vroom", "col_types_standardise", 0, 0, 0, "class<`col_spec`>", 1
"vroom", "col_types_standardise", 1, 0, 0, "character[]", 1
"vroom", "col_types_standardise", 2, 0, 0, "class<`formula`, `quosure`>", 1
"vroom", "col_types_standardise", 2, 0, 1, "class<`list`, `quosures`>", 1
"vroom", "date_names_lang", -1, 0, 0, "class<`date_names`>", 1
"vroom", "date_names_lang", 0, 0, 0, "character", 1
"vroom", "default_locale", -1, 0, 0, "class<`locale`>", 1
"vroom", "env_to_logical", -1, 0, 0, "logical", 1
"vroom", "env_to_logical", 0, 0, 0, "character", 1
"vroom", "env_to_logical", 1, 0, 0, "logical", 1
"vroom", "filter", -1, 0, 0, "logical[]", 1
"vroom", "filter", 0, 0, 0, "character[]", 1
"vroom", "fmt_num", -1, 0, 0, "character", 1
"vroom", "fmt_num", 0, 0, 0, "integer", 1
"vroom", "fun", -1, 0, 0, "logical", 1
"vroom", "fun", 0, 0, 0, "any", 1
"vroom", "fun", 1, 0, 0, "character", 1
"vroom", "fun", -1, 1, 0, "null", 1
"vroom", "fun", 0, 1, 0, "...", 1
"vroom", "FUN", -1, 0, 0, "character", 1
"vroom", "FUN", 0, 0, 0, "class<`collector`, `collector_character`>", 1
"vroom", "FUN", 0, 0, 1, "class<`collector`, `collector_double`>", 1
"vroom", "FUN", -1, 1, 0, "logical", 1
"vroom", "FUN", 0, 1, 0, "class<`collector`, `collector_character`>", 1
"vroom", "FUN", 0, 1, 1, "class<`collector`, `collector_double`>", 1
"vroom", "FUN", 0, 1, 2, "class<`collector`, `collector_integer`>", 1
"vroom", "FUN", 0, 1, 3, "class<`collector`, `collector_number`>", 1
"vroom", "FUN", 0, 1, 4, "class<`collector`, `collector_skip`>", 1
"vroom", "FUN", 0, 1, 5, "class<`collector`, `collector_guess`>", 1
"vroom", "FUN", -1, 2, 0, "class<`character`, `glue`>", 1
"vroom", "FUN", 0, 2, 0, "character[]", 1
"vroom", "FUN", -1, 3, 0, "integer", 1
"vroom", "FUN", 0, 3, 0, "class<`table`>", 1
"vroom", "FUN", -1, 4, 0, "double[]", 1
"vroom", "FUN", -1, 4, 1, "character", 1
"vroom", "FUN", 0, 4, 0, "double[]", 1
"vroom", "FUN", 0, 4, 1, "character", 1
"vroom", "FUN", 0, 4, 2, "class<`Date`>", 1
"vroom", "FUN", 0, 4, 3, "class<`POSIXct`, `POSIXt`>", 1
"vroom", "FUN", -1, 5, 0, "class<`table`>", 1
"vroom", "FUN", 0, 5, 0, "list<character[]>", 1
"vroom", "FUN", -1, 6, 0, "integer", 1
"vroom", "FUN", 0, 6, 0, "class<`table`>", 1
"vroom", "FUN", -1, 7, 0, "character", 1
"vroom", "FUN", 0, 7, 0, "character", 1
"vroom", "FUN", -1, 8, 0, "class<`collector`, `collector_character`>", 1
"vroom", "FUN", -1, 8, 1, "class<`collector`, `collector_double`>", 1
"vroom", "FUN", -1, 8, 2, "class<`collector`, `collector_integer`>", 1
"vroom", "FUN", -1, 8, 3, "class<`collector`, `collector_number`>", 1
"vroom", "FUN", -1, 8, 4, "class<`collector`, `collector_skip`>", 1
"vroom", "FUN", 0, 8, 0, "character", 1
"vroom", "FUN", -1, 9, 0, "character", 1
"vroom", "FUN", 0, 9, 0, "class<`collector`, `collector_character`>", 1
"vroom", "FUN", 0, 9, 1, "class<`collector`, `collector_double`>", 1
"vroom", "FUN", 0, 9, 2, "class<`collector`, `collector_skip`>", 1
"vroom", "fwf_col_names", -1, 0, 0, "character[]", 1
"vroom", "fwf_col_names", 0, 0, 0, "character[]", 1
"vroom", "fwf_col_names", 1, 0, 0, "integer", 1
"vroom", "fwf_cols", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"vroom", "fwf_cols", 0, 0, 0, "...", 1
"vroom", "fwf_empty", -1, 0, 0, "list<^integer[] | character[]>", 1
"vroom", "fwf_empty", 0, 0, 0, "character", 1
"vroom", "fwf_empty", 1, 0, 0, "double", 1
"vroom", "fwf_empty", 2, 0, 0, "character[]", 1
