package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"webmockr", "::", -1, 0, 0, "logical[]", 1
"webmockr", "::", 0, 0, 0, "null", 1
"webmockr", "::", 1, 0, 0, "language", 1
"webmockr", ".subset2", -1, 0, 0, "null", 1
"webmockr", ".subset2", 0, 0, 0, "null", 1
"webmockr", ".subset2", 0, 0, 1, "character", 1
"webmockr", ".subset2", 0, 0, 2, "struct<`a`:double>", 1
"webmockr", ".subset2", 0, 0, 3, "struct<`Header1`:character>", 1
"webmockr", ".subset2", 0, 0, 4, "struct<`Hello_World`:character>", 1
"webmockr", ".subset2", 0, 0, 5, "struct<`User-Agent`:character, `Accept-Encoding`:character, `Accept`:character>", 1
"webmockr", ".subset2", 0, 0, 6, "struct<`foo`:character>", 1
"webmockr", ".subset2", 0, 0, 7, "tuple<>", 1
"webmockr", ".subset2", 1, 0, 0, "null", 1
"webmockr", ".subset2", 1, 0, 1, "character", 1
"webmockr", ".subset2", 2, 0, 0, "null", 1
"webmockr", ".subset2", 2, 0, 1, "tuple<>", 1
"webmockr", ".subset2", 2, 0, 2, "struct<`body`:null, `headers`:struct<`Accept-Encoding`:character, `Accept`:character>, `proxies`:null, `auth`:null>", 1
"webmockr", ".subset2", 2, 0, 3, "struct<`body`:struct<`foo`:character, `a`:double>>", 1
"webmockr", ".subset2", 2, 0, 4, "struct<`headers`:struct<`User-Agent`:character, `stuff`:character>>", 1
"webmockr", ".subset2", 2, 0, 5, "language", 1
"webmockr", ".subset2", 3, 0, 0, "null", 1
"webmockr", ".subset2", 4, 0, 0, "null", 1
"webmockr", ".subset2", 5, 0, 0, "null", 1
