package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"wmtsa", "as.matrix.wavCWT", -1, 0, 0, "class<`matrix`>", 1
"wmtsa", "as.matrix.wavCWT", 0, 0, 0, "class<`wavCWT`>", 1
"wmtsa", "as.matrix.wavCWT", 1, 0, 0, "character", 1
"wmtsa", "as.matrix.wavCWT", 2, 0, 0, "logical", 1
"wmtsa", "as.matrix.wavCWT", 3, 0, 0, "...", 1
"wmtsa", "as.matrix.wavMRD", -1, 0, 0, "class<`matrix`>", 1
"wmtsa", "as.matrix.wavMRD", 0, 0, 0, "class<`wavMRD`>", 1
"wmtsa", "as.matrix.wavMRD", 1, 0, 0, "character", 1
"wmtsa", "as.matrix.wavMRD", 2, 0, 0, "logical", 1
"wmtsa", "as.matrix.wavMRD", 3, 0, 0, "...", 1
"wmtsa", "boxplot.wavTransform", -1, 0, 0, "null", 1
"wmtsa", "boxplot.wavTransform", 0, 0, 0, "class<`wavTransform`>", 1
"wmtsa", "boxplot.wavTransform", 1, 0, 0, "character", 1
"wmtsa", "boxplot.wavTransform", 2, 0, 0, "character", 1
"wmtsa", "boxplot.wavTransform", 3, 0, 0, "...", 1
"wmtsa", "create.signalSeries", -1, 0, 0, "class<`signalSeries`>", 1
"wmtsa", "create.signalSeries", 0, 0, 0, "class<`signalSeries`>", 1
"wmtsa", "create.signalSeries", 0, 0, 1, "class<`ts`>", 1
"wmtsa", "create.signalSeries", 0, 0, 2, "double[]", 1
"wmtsa", "create.signalSeries", 0, 0, 3, "null", 1
"wmtsa", "create.signalSeries", 1, 0, 0, "any", 1
"wmtsa", "create.signalSeries", 2, 0, 0, "null", 1
"wmtsa", "create.signalSeries", 2, 0, 1, "double", 1
"wmtsa", "create.signalSeries", 3, 0, 0, "null", 1
"wmtsa", "create.signalSeries", 3, 0, 1, "double", 1
"wmtsa", "create.signalSeries", 4, 0, 0, "null", 1
"wmtsa", "create.signalSeries", 5, 0, 0, "null", 1
"wmtsa", "create.signalSeries", 5, 0, 1, "double", 1
"wmtsa", "crystal.names", -1, 0, 0, "character[]", 1
"wmtsa", "crystal.names", 0, 0, 0, "class<`wavMRD`>", 1
"wmtsa", "crystal.names", 1, 0, 0, "...", 1
"wmtsa", "crystal.names.wavMRD", -1, 0, 0, "character[]", 1
"wmtsa", "crystal.names.wavMRD", 0, 0, 0, "class<`wavMRD`>", 1
"wmtsa", "crystal.names.wavMRD", 1, 0, 0, "...", 1
"wmtsa", "D.statistic", -1, 0, 0, "double", 1
"wmtsa", "D.statistic", 0, 0, 0, "double[]", 1
"wmtsa", "D.table", -1, 0, 0, "class<`matrix`>", 1
"wmtsa", "D.table", 0, 0, 0, "integer[]", 1
