package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"wrapr", ":=", -1, 0, 0, "character[]", 1
"wrapr", ":=", -1, 0, 1, "class<`function`>", 1
"wrapr", ":=", -1, 0, 2, "double[]", 1
"wrapr", ":=", 0, 0, 0, "any", 1
"wrapr", ":=", 1, 0, 0, "any", 1
"wrapr", "::", -1, 0, 0, "any", 1
"wrapr", "::", 0, 0, 0, "class<`call`>", 1
"wrapr", "::", 1, 0, 0, "character", 1
"wrapr", "::", -1, 1, 0, "class<`data.frame`>", 1
"wrapr", "::", 0, 1, 0, "...", 1
"wrapr", "::", -1, 2, 0, "character[]", 1
"wrapr", "::", 0, 2, 0, "...", 1
"wrapr", "::", 1, 2, 0, "environment", 1
"wrapr", "::", -1, 3, 0, "class<`function`>", 1
"wrapr", "::", 0, 3, 0, "character[]", 1
"wrapr", "::", 0, 3, 1, "class<`name`>", 1
"wrapr", "::", 0, 3, 2, "list<class<`name`>>", 1
"wrapr", "::", 1, 3, 0, "class<`call`>", 1
"wrapr", "::", 1, 3, 1, "class<`{`>", 1
"wrapr", "::", 2, 3, 0, "environment", 1
"wrapr", "::", -1, 4, 0, "character[]", 1
"wrapr", "::", 0, 4, 0, "...", 1
"wrapr", "::", -1, 5, 0, "class<`data.frame`>", 1
"wrapr", "::", 0, 5, 0, "...", 1
"wrapr", "::", 1, 5, 0, "environment", 1
"wrapr", "::", -1, 6, 0, "double[]", 1
"wrapr", "::", 0, 6, 0, "double", 1
"wrapr", "::", 1, 6, 0, "double", 1
"wrapr", "::", -1, 7, 0, "double[]", 1
"wrapr", "::", -1, 7, 1, "character", 1
"wrapr", "::", -1, 7, 2, "class<`data.frame`>", 1
"wrapr", "::", -1, 7, 3, "class<`UnaryFnList`>", 1
"wrapr", "::", 0, 7, 0, "character", 1
"wrapr", "::", 0, 7, 1, "class<`data.frame`>", 1
"wrapr", "::", 0, 7, 2, "class<`PartialFunction`>", 1
"wrapr", "::", 0, 7, 3, "class<`PartialNamedFn`>", 1
"wrapr", "::", 0, 7, 4, "class<`UnaryFnList`>", 1
"wrapr", "::", 0, 7, 5, "double[]", 1
"wrapr", "::", 1, 7, 0, "class<`PartialFunction`>", 1
"wrapr", "::", 1, 7, 1, "character", 1
"wrapr", "::", 1, 7, 2, "class<`data.frame`>", 1
"wrapr", "::", 1, 7, 3, "class<`PartialNamedFn`>", 1
"wrapr", "::", 1, 7, 4, "class<`UnaryFnList`>", 1
"wrapr", "::", 1, 7, 5, "class<`SrcFunction`>", 1
"wrapr", "::", 1, 7, 6, "class<`locum`>", 1
"wrapr", "::", 1, 7, 7, "class<`ourclass`, `wrapr_applicable`>", 1
"wrapr", "::", 1, 7, 8, "class<`glm`, `lm`>", 1
"wrapr", "::", 1, 7, 9, "list<class<`function`>>", 1
"wrapr", "::", 2, 7, 0, "environment", 1
"wrapr", "::", 3, 7, 0, "any", 1
"wrapr", "::", 4, 7, 0, "any", 1
"wrapr", "::", 5, 7, 0, "any", 1
"wrapr", "::", -1, 8, 0, "character[]", 1
"wrapr", "::", -1, 8, 1, "list<character[]>", 1
"wrapr", "::", 0, 8, 0, "character[]", 1
"wrapr", "::", 0, 8, 1, "list<character>", 1
"wrapr", "::", 1, 8, 0, "character", 1
"wrapr", "::", 2, 8, 0, "character", 1
"wrapr", ":::", -1, 0, 0, "class<`call`>", 1
"wrapr", ":::", -1, 0, 1, "class<`name`>", 1
"wrapr", ":::", -1, 0, 2, "double", 1
"wrapr", ":::", 0, 0, 0, "character[]", 1
"wrapr", ":::", 0, 0, 1, "null", 1
"wrapr", ":::", 1, 0, 0, "logical", 1
"wrapr", "%?%", -1, 0, 0, "^double[]", 1
"wrapr", "%?%", -1, 0, 1, "null", 1
"wrapr", "%?%", -1, 0, 2, "list<double | null | double>", 1
"wrapr", "%?%", 0, 0, 0, "^double[]", 1
"wrapr", "%?%", 0, 0, 1, "null", 1
"wrapr", "%?%", 0, 0, 2, "list<any>", 1
"wrapr", "%?%", 1, 0, 0, "^double[]", 1
"wrapr", "%?%", 1, 0, 1, "list<any>", 1
"wrapr", "%.>%", -1, 0, 0, "any", 1
"wrapr", "%.>%", 0, 0, 0, "any", 1
"wrapr", "%.>%", 1, 0, 0, "any", 1
"wrapr", "%.|%", -1, 0, 0, "integer", 1
"wrapr", "%.|%", 0, 0, 0, "integer[]", 1
"wrapr", "%.|%", 1, 0, 0, "any", 1
"wrapr", "%+%", -1, 0, 0, "any", 1
"wrapr", "%+%", 0, 0, 0, "any", 1
"wrapr", "%+%", 1, 0, 0, "any", 1
"wrapr", "add_name_column", -1, 0, 0, "list<class<`data.frame`>>", 1
"wrapr", "add_name_column", 0, 0, 0, "list<class<`data.frame`>>", 1
"wrapr", "add_name_column", 1, 0, 0, "character", 1
"wrapr", "apply_left", -1, 0, 0, "any", 1
"wrapr", "apply_left", 0, 0, 0, "character", 1
"wrapr", "apply_left", 0, 0, 1, "class<`Collector`>", 1
"wrapr", "apply_left", 0, 0, 2, "class<`data.frame`>", 1
"wrapr", "apply_left", 0, 0, 3, "class<`formula`>", 1
"wrapr", "apply_left", 0, 0, 4, "class<`function`>", 1
"wrapr", "apply_left", 0, 0, 5, "class<`locum`>", 1
"wrapr", "apply_left", 0, 0, 6, "class<`PartialNamedFn`>", 1
"wrapr", "apply_left", 0, 0, 7, "double[]", 1
"wrapr", "apply_left", 0, 0, 8, "class<`track`>", 1
"wrapr", "apply_left", 0, 0, 9, "list<class<`data.frame`>>", 1
"wrapr", "apply_left", 1, 0, 0, "character", 1
"wrapr", "apply_left", 1, 0, 1, "class<`call`>", 1
"wrapr", "apply_left", 1, 0, 2, "double", 1
"wrapr", "apply_left", 1, 0, 3, "class<`{`>", 1
"wrapr", "apply_left", 2, 0, 0, "environment", 1
"wrapr", "apply_left", 3, 0, 0, "any", 1
"wrapr", "apply_left", 4, 0, 0, "any", 1
"wrapr", "apply_left", 5, 0, 0, "any", 1
"wrapr", "apply_left.Collector", -1, 0, 0, "class<`Collector`>", 1
"wrapr", "apply_left.Collector", 0, 0, 0, "class<`Collector`>", 1
"wrapr", "apply_left.Collector", 1, 0, 0, "class<`call`>", 1
"wrapr", "apply_left.Collector", 2, 0, 0, "environment", 1
"wrapr", "apply_left.Collector", 3, 0, 0, "any", 1
"wrapr", "apply_left.Collector", 4, 0, 0, "any", 1
"wrapr", "apply_left.Collector", 5, 0, 0, "any", 1
"wrapr", "apply_left_default", -1, 0, 0, "any", 1
"wrapr", "apply_left_default", 0, 0, 0, "any", 1
"wrapr", "apply_left_default", 1, 0, 0, "class<`call`>", 1
"wrapr", "apply_left_default", 1, 0, 1, "class<`{`>", 1
"wrapr", "apply_left_default", 2, 0, 0, "environment", 1
"wrapr", "apply_left_default", 3, 0, 0, "any", 1
"wrapr", "apply_left_default", 4, 0, 0, "any", 1
"wrapr", "apply_left_default", 5, 0, 0, "any", 1
"wrapr", "apply_left.default", -1, 0, 0, "any", 1
"wrapr", "apply_left.default", 0, 0, 0, "class<`data.frame`>", 1
"wrapr", "apply_left.default", 0, 0, 1, "class<`function`>", 1
"wrapr", "apply_left.default", 0, 0, 2, "double[]", 1
"wrapr", "apply_left.default", 0, 0, 3, "class<`track`>", 1
"wrapr", "apply_left.default", 0, 0, 4, "list<class<`data.frame`>>", 1
"wrapr", "apply_left.default", 1, 0, 0, "class<`call`>", 1
"wrapr", "apply_left.default", 1, 0, 1, "class<`{`>", 1
"wrapr", "apply_left.default", 2, 0, 0, "environment", 1
"wrapr", "apply_left.default", 3, 0, 0, "any", 1
"wrapr", "apply_left.default", 4, 0, 0, "any", 1
"wrapr", "apply_left.default", 5, 0, 0, "any", 1
"wrapr", "apply_left.locum", -1, 0, 0, "class<`locum`>", 1
"wrapr", "apply_left.locum", 0, 0, 0, "class<`locum`>", 1
"wrapr", "apply_left.locum", 1, 0, 0, "class<`call`>", 1
"wrapr", "apply_left.locum", 2, 0, 0, "environment", 1
"wrapr", "apply_left.locum", 3, 0, 0, "null", 1
"wrapr", "apply_left.locum", 4, 0, 0, "character", 1
"wrapr", "apply_left.locum", 5, 0, 0, "null", 1
"wrapr", "apply_left.UnaryFn", -1, 0, 0, "class<`UnaryFnList`>", 1
"wrapr", "apply_left.UnaryFn", 0, 0, 0, "class<`PartialNamedFn`>", 1
"wrapr", "apply_left.UnaryFn", 1, 0, 0, "class<`call`>", 1
"wrapr", "apply_left.UnaryFn", 2, 0, 0, "environment", 1
"wrapr", "apply_left.UnaryFn", 3, 0, 0, "any", 1
"wrapr", "apply_left.UnaryFn", 4, 0, 0, "any", 1
"wrapr", "apply_left.UnaryFn", 5, 0, 0, "any", 1
"wrapr", "apply_right", -1, 0, 0, "double[]", 1
"wrapr", "apply_right", -1, 0, 1, "character", 1
"wrapr", "apply_right", -1, 0, 2, "class<`data.frame`>", 1
"wrapr", "apply_right", -1, 0, 3, "class<`UnaryFnList`>", 1
"wrapr", "apply_right", 0, 0, 0, "character", 1
"wrapr", "apply_right", 0, 0, 1, "class<`data.frame`>", 1
"wrapr", "apply_right", 0, 0, 2, "class<`PartialFunction`>", 1
"wrapr", "apply_right", 0, 0, 3, "class<`PartialNamedFn`>", 1
"wrapr", "apply_right", 0, 0, 4, "class<`UnaryFnList`>", 1
"wrapr", "apply_right", 0, 0, 5, "double[]", 1
"wrapr", "apply_right", 1, 0, 0, "class<`PartialFunction`>", 1
"wrapr", "apply_right", 1, 0, 1, "character", 1
"wrapr", "apply_right", 1, 0, 2, "class<`data.frame`>", 1
"wrapr", "apply_right", 1, 0, 3, "class<`PartialNamedFn`>", 1
"wrapr", "apply_right", 1, 0, 4, "class<`UnaryFnList`>", 1
"wrapr", "apply_right", 1, 0, 5, "class<`SrcFunction`>", 1
"wrapr", "apply_right", 1, 0, 6, "class<`locum`>", 1
"wrapr", "apply_right", 1, 0, 7, "class<`ourclass`, `wrapr_applicable`>", 1
"wrapr", "apply_right", 1, 0, 8, "class<`glm`, `lm`>", 1
"wrapr", "apply_right", 1, 0, 9, "list<class<`function`>>", 1
"wrapr", "apply_right", 2, 0, 0, "environment", 1
"wrapr", "apply_right", 3, 0, 0, "any", 1
"wrapr", "apply_right", 4, 0, 0, "any", 1
"wrapr", "apply_right", 5, 0, 0, "any", 1
"wrapr", "apply_right.default", -1, 0, 0, "character", 1
"wrapr", "apply_right.default", -1, 0, 1, "class<`data.frame`>", 1
"wrapr", "apply_right.default", 0, 0, 0, "character", 1
