package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"xml2", "as.character.xml_document", -1, 0, 0, "character", 1
"xml2", "as.character.xml_document", 0, 0, 0, "class<`xml_document`>", 1
"xml2", "as.character.xml_document", 0, 0, 1, "class<`xml_document`, `xml_node`>", 1
"xml2", "as.character.xml_document", 1, 0, 0, "...", 1
"xml2", "as.character.xml_document", 2, 0, 0, "character", 1
"xml2", "as.character.xml_document", 3, 0, 0, "character", 1
"xml2", "as_list", -1, 0, 0, "character", 1
"xml2", "as_list", -1, 0, 1, "list<any>", 1
"xml2", "as_list", 0, 0, 0, "class<`xml_node`>", 1
"xml2", "as_list", 0, 0, 1, "class<`xml_document`, `xml_node`>", 1
"xml2", "as_list", 1, 0, 0, "any", 1
"xml2", "as_list", 2, 0, 0, "...", 1
"xml2", "as_list.xml_document", -1, 0, 0, "list<list<any>>", 1
"xml2", "as_list.xml_document", 0, 0, 0, "class<`xml_document`, `xml_node`>", 1
"xml2", "as_list.xml_document", 1, 0, 0, "any", 1
"xml2", "as_list.xml_document", 2, 0, 0, "...", 1
"xml2", "as_list.xml_node", -1, 0, 0, "character", 1
"xml2", "as_list.xml_node", -1, 0, 1, "list<any>", 1
"xml2", "as_list.xml_node", 0, 0, 0, "class<`xml_node`>", 1
"xml2", "as_list.xml_node", 0, 0, 1, "class<`xml_document`, `xml_node`>", 1
"xml2", "as_list.xml_node", 1, 0, 0, "any", 1
"xml2", "as_list.xml_node", 2, 0, 0, "...", 1
"xml2", "as_xml_document", -1, 0, 0, "class<`xml_document`, `xml_node`>", 1
"xml2", "as_xml_document", 0, 0, 0, "class<`xml_nodeset`>", 1
"xml2", "as_xml_document", 0, 0, 1, "list<list<any>>", 1
"xml2", "as_xml_document", 1, 0, 0, "...", 1
"xml2", "as_xml_document.list", -1, 0, 0, "class<`xml_document`, `xml_node`>", 1
"xml2", "as_xml_document.list", 0, 0, 0, "list<list<any>>", 1
"xml2", "as_xml_document.list", 1, 0, 0, "...", 1
"xml2", "as_xml_document.xml_nodeset", -1, 0, 0, "class<`xml_document`, `xml_node`>", 1
