package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"xtable", "align<-", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "align<-", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "align<-", 1, 0, 0, "character[]", 1
"xtable", ".alignStringToVector", -1, 0, 0, "character[]", 1
"xtable", ".alignStringToVector", 0, 0, 0, "character", 1
"xtable", "align<-.xtable", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "align<-.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "align<-.xtable", 1, 0, 0, "character[]", 1
"xtable", "as.is", -1, 0, 0, "character[]", 1
"xtable", "as.is", 0, 0, 0, "character[]", 1
"xtable", "as.math", -1, 0, 0, "character", 1
"xtable", "as.math", 0, 0, 0, "character", 1
"xtable", "as.math", 1, 0, 0, "...", 1
"xtable", "as.string", -1, 0, 0, "class<`string`>", 1
"xtable", "as.string", 0, 0, 0, "character", 1
"xtable", "as.string", 1, 0, 0, "character", 1
"xtable", "as.string", 2, 0, 0, "logical", 1
"xtable", "autoformat", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "autoformat", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "autoformat", 1, 0, 0, "integer", 1
"xtable", "caption<-", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "caption<-", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "caption<-", 1, 0, 0, "null", 1
"xtable", "caption<-", 1, 0, 1, "character[]", 1
"xtable", "caption<-.xtable", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "caption<-.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "caption<-.xtable", 1, 0, 0, "null", 1
"xtable", "caption<-.xtable", 1, 0, 1, "character[]", 1
"xtable", "digits<-", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "digits<-", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "digits<-", 1, 0, 0, "double[]", 1
"xtable", "digits<-", 1, 0, 1, "class<`matrix`>", 1
"xtable", "digits<-.xtable", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "digits<-.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "digits<-.xtable", 1, 0, 0, "double[]", 1
"xtable", "digits<-.xtable", 1, 0, 1, "class<`matrix`>", 1
"xtable", "display", -1, 0, 0, "character[]", 1
"xtable", "display", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "display", 1, 0, 0, "...", 1
"xtable", "display<-", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "display<-", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "display<-", 1, 0, 0, "character[]", 1
"xtable", "display<-.xtable", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "display<-.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "display<-.xtable", 1, 0, 0, "character[]", 1
"xtable", "display.xtable", -1, 0, 0, "character[]", 1
"xtable", "display.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "display.xtable", 1, 0, 0, "...", 1
"xtable", "label<-", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "label<-", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "label<-", 1, 0, 0, "null", 1
"xtable", "label<-", 1, 0, 1, "character", 1
"xtable", "label<-.xtable", -1, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "label<-.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "label<-.xtable", 1, 0, 0, "null", 1
"xtable", "label<-.xtable", 1, 0, 1, "character", 1
"xtable", "print.string", -1, 0, 0, "null", 1
"xtable", "print.string", 0, 0, 0, "class<`string`>", 1
"xtable", "print.string", 1, 0, 0, "...", 1
"xtable", "print.xtable", -1, 0, 0, "character", 1
"xtable", "print.xtable", 0, 0, 0, "class<`data.frame`, `xtable`>", 1
"xtable", "print.xtable", 0, 0, 1, "class<`data.frame`, `xtableList`>", 1
"xtable", "print.xtable", 0, 0, 2, "class<`data.frame`, `xtableMatharray`>", 1
"xtable", "print.xtable", 0, 0, 3, "class<`matrix`>", 1
"xtable", "print.xtable", 1, 0, 0, "character", 1
"xtable", "print.xtable", 2, 0, 0, "character", 1
"xtable", "print.xtable", 3, 0, 0, "logical", 1
"xtable", "print.xtable", 4, 0, 0, "logical", 1
"xtable", "print.xtable", 5, 0, 0, "character", 1
"xtable", "print.xtable", 6, 0, 0, "character", 1
"xtable", "print.xtable", 6, 0, 1, "null", 1
"xtable", "print.xtable", 7, 0, 0, "character", 1
"xtable", "print.xtable", 8, 0, 0, "any", 1
"xtable", "print.xtable", 9, 0, 0, "any", 1
"xtable", "print.xtable", 10, 0, 0, "character", 1
"xtable", "print.xtable", 11, 0, 0, "any", 1
"xtable", "print.xtable", 12, 0, 0, "double[]", 1
