package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"zeallot", "%<-%", -1, 0, 0, "any", 1
"zeallot", "%<-%", 0, 0, 0, "any", 1
"zeallot", "%<-%", 1, 0, 0, "character[]", 1
"zeallot", "%<-%", 1, 0, 1, "class<`data.frame`>", 1
"zeallot", "%<-%", 1, 0, 2, "class<`summaryDefault`, `table`>", 1
"zeallot", "%<-%", 1, 0, 3, "class<`summary.lm`>", 1
"zeallot", "%<-%", 1, 0, 4, "double[]", 1
"zeallot", "%<-%", 1, 0, 5, "list<any>", 1
"zeallot", "%->%", -1, 0, 0, "list<character | double | character>", 1
"zeallot", "%->%", 0, 0, 0, "list<character | double | character>", 1
"zeallot", "%->%", 1, 0, 0, "any", 1
"zeallot", "add_defaults", -1, 0, 0, "list<character | null>", 1
"zeallot", "add_defaults", 0, 0, 0, "list<character>", 1
"zeallot", "add_defaults", 1, 0, 0, "list<character>", 1
"zeallot", "add_defaults", 2, 0, 0, "environment", 1
"zeallot", "assert_destruction", -1, 0, 0, "null", 1
"zeallot", "assert_destruction", 0, 0, 0, "character", 1
"zeallot", "assert_destruction", 0, 0, 1, "class<`Date`>", 1
"zeallot", "calls", -1, 0, 0, "(character[] | null)", 1
"zeallot", "calls", 0, 0, 0, "character", 1
"zeallot", "calls", 0, 0, 1, "class<`name`>", 1
"zeallot", "calls", 0, 0, 2, "null", 1
"zeallot", "calls", 0, 0, 3, "list<any>", 1
"zeallot", "car", -1, 0, 0, "(character[] | class<`call`> | class<`name`> | double[] | null | list<any>)", 1
"zeallot", "car", 0, 0, 0, "list<any>", 1
"zeallot", "cdr", -1, 0, 0, "list<any>", 1
"zeallot", "cdr", 0, 0, 0, "list<any>", 1
"zeallot", "check_extract_calls", -1, 0, 0, "null", 1
"zeallot", "check_extract_calls", 0, 0, 0, "character", 1
"zeallot", "check_extract_calls", 0, 0, 1, "list<any>", 1
"zeallot", "check_extract_calls", 1, 0, 0, "any", 1
"zeallot", "collect", -1, 0, 0, "list<character | list<character> | double[] | class<`matrix`> | list<class<`formula`, `terms`> | double[] | class<`matrix`>> | list<character | double[]>>", 1
"zeallot", "collect", 0, 0, 0, "list<character>", 1
"zeallot", "collect", 1, 0, 0, "list<character | double[] | class<`formula`, `terms`> | double[] | class<`matrix`>>", 1
"zeallot", "condition", -1, 0, 0, "class<`condition`, `error`, `invalid_rhs`>", 1
"zeallot", "condition", 0, 0, 0, "character[]", 1
"zeallot", "condition", 1, 0, 0, "character", 1
"zeallot", "condition", 2, 0, 0, "class<`call`>", 1
"zeallot", "condition", 3, 0, 0, "...", 1
"zeallot", "destructure", -1, 0, 0, "list<any>", 1
"zeallot", "destructure", 0, 0, 0, "character", 1
"zeallot", "destructure", 0, 0, 1, "class<`shape`>", 1
"zeallot", "destructure", 0, 0, 2, "class<`Date`>", 1
"zeallot", "destructure", 0, 0, 3, "class<`summary.lm`>", 1
"zeallot", "destructure", 0, 0, 4, "class<`data.frame`>", 1
"zeallot", "destructure.character", -1, 0, 0, "list<character>", 1
"zeallot", "destructure.character", 0, 0, 0, "character", 1
"zeallot", "destructure.data.frame", -1, 0, 0, "list<double[]>", 1
"zeallot", "destructure.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"zeallot", "destructure.Date", -1, 0, 0, "list<double>", 1
"zeallot", "destructure.Date", 0, 0, 0, "class<`Date`>", 1
"zeallot", "destructure.summary.lm", -1, 0, 0, "list<any>", 1
"zeallot", "destructure.summary.lm", 0, 0, 0, "class<`summary.lm`>", 1
"zeallot", "FUN", -1, 0, 0, "(character[] | null)", 1
"zeallot", "FUN", 0, 0, 0, "character", 1
"zeallot", "FUN", 0, 0, 1, "class<`name`>", 1
"zeallot", "FUN", 0, 0, 2, "null", 1
"zeallot", "FUN", 0, 0, 3, "list<any>", 1
"zeallot", "FUN", -1, 1, 0, "null", 1
"zeallot", "FUN", 0, 1, 0, "character", 1
